Orthogroup	CquinquefasciatusJHB2020	AdirusWRAIR2
OG0000063	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091	ADIR008969
OG0000064	CQUJHB003566, CQUJHB000930	ADIR004674
OG0000066	CQUJHB001473, CQUJHB013967, CQUJHB014531, CQUJHB010763, CQUJHB017631, CQUJHB014363, CQUJHB005589, CQUJHB000577, CQUJHB013835, CQUJHB007426, CQUJHB008217, CQUJHB006490, CQUJHB003531, CQUJHB016109, CQUJHB016500, CQUJHB001827, CQUJHB003990, CQUJHB003459, CQUJHB015610, CQUJHB000474, CQUJHB002758, CQUJHB016478, CQUJHB000237, CQUJHB015509, CQUJHB013197, CQUJHB004921, CQUJHB000497, CQUJHB001209, CQUJHB014773, CQUJHB008090, CQUJHB008837, CQUJHB018110, CQUJHB004113, CQUJHB006255, CQUJHB017942, CQUJHB001527, CQUJHB009545, CQUJHB002670, CQUJHB017303, CQUJHB012383, CQUJHB014300, CQUJHB015022, CQUJHB001686, CQUJHB003237, CQUJHB004142, CQUJHB003979	ADIR016088
OG0000067	CQUJHB012309	ADIR001930
OG0000067	CQUJHB007474, CQUJHB016064	ADIR000539
OG0000067	CQUJHB016947	ADIR000540
OG0000068	CQUJHB004402	ADIR007458
OG0000068	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559	ADIR007459
OG0000068	CQUJHB001983	ADIR007460
OG0000069	CQUJHB002460	ADIR003464
OG0000069	CQUJHB012428	ADIR007962
OG0000069	CQUJHB001040, CQUJHB012111, CQUJHB002152	ADIR007263, ADIR007262, ADIR003511
OG0000071	CQUJHB009539, CQUJHB013274	ADIR001093
OG0000071	CQUJHB005863, CQUJHB017394	ADIR002693
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	ADIR011119, ADIR011120, ADIR011116
OG0000072	CQUJHB006781	ADIR001900
OG0000072	CQUJHB004785	ADIR003546
OG0000072	CQUJHB005018, CQUJHB006868	ADIR008039
OG0000073	CQUJHB014734	ADIR010953
OG0000074	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115	ADIR003703, ADIR003702, ADIR003701
OG0000074	CQUJHB007995	ADIR007318
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	ADIR008602, ADIR008603, ADIR008604
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334
OG0000077	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043	ADIR007690
OG0000079	CQUJHB003821, CQUJHB018448	ADIR010062
OG0000080	CQUJHB015069	ADIR007208
OG0000080	CQUJHB005257, CQUJHB005516	ADIR000033
OG0000081	CQUJHB001153	ADIR007942
OG0000081	CQUJHB000320	ADIR007943
OG0000082	CQUJHB007898	ADIR000069, ADIR000071, ADIR000093
OG0000085	CQUJHB014727, CQUJHB008083	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	ADIR003037
OG0000086	CQUJHB012368	ADIR006613
OG0000088	CQUJHB009482	ADIR000163
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	ADIR000290, ADIR000294
OG0000089	CQUJHB015151	ADIR009555
OG0000089	CQUJHB003816, CQUJHB012139	ADIR009554
OG0000090	CQUJHB017497	ADIR015919
OG0000090	CQUJHB007824	ADIR007285
OG0000091	CQUJHB017444	ADIR006521
OG0000093	CQUJHB010789	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323
OG0000096	CQUJHB002716	ADIR000343
OG0000096	CQUJHB018308	ADIR010758
OG0000096	CQUJHB008108	ADIR009091
OG0000096	CQUJHB008616	ADIR000344
OG0000097	CQUJHB011218, CQUJHB006589	ADIR010274
OG0000097	CQUJHB015073	ADIR010273
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893
OG0000104	CQUJHB003501	ADIR006249
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	ADIR010870, ADIR010871, ADIR010869
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	ADIR004058
OG0000109	CQUJHB017035	ADIR007689
OG0000109	CQUJHB000019	ADIR009055
OG0000111	CQUJHB001127, CQUJHB016273	ADIR000646, ADIR000644
OG0000114	CQUJHB001438, CQUJHB002918, CQUJHB003734	ADIR000642
OG0000115	CQUJHB014380	ADIR007384
OG0000116	CQUJHB009840	ADIR006147
OG0000116	CQUJHB015910	ADIR005173
OG0000119	CQUJHB001620	ADIR007783
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	ADIR007782
OG0000120	CQUJHB006803	ADIR015976
OG0000120	CQUJHB014331, CQUJHB001450	ADIR015969, ADIR015967
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	ADIR002706
OG0000128	CQUJHB011093	ADIR005627
OG0000128	CQUJHB006737	ADIR016172
OG0000128	CQUJHB017854	ADIR016170
OG0000130	CQUJHB016267	ADIR003050
OG0000130	CQUJHB001771	ADIR011436, ADIR011726, ADIR011435
OG0000131	CQUJHB000645	ADIR011335
OG0000131	CQUJHB014041	ADIR011339
OG0000132	CQUJHB010862	ADIR009202
OG0000132	CQUJHB003091	ADIR010804
OG0000133	CQUJHB009822	ADIR000444
OG0000133	CQUJHB016449	ADIR000140
OG0000134	CQUJHB006248, CQUJHB017587, CQUJHB010568	ADIR003660
OG0000134	CQUJHB012326	ADIR003658
OG0000135	CQUJHB017649	ADIR011399
OG0000135	CQUJHB008910	ADIR005919
OG0000135	CQUJHB008581	ADIR000262, ADIR005920
OG0000136	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282	ADIR000092, ADIR000087
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	ADIR006020
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	ADIR007903
OG0000142	CQUJHB011887	ADIR008287
OG0000142	CQUJHB002040	ADIR008294
OG0000142	CQUJHB003927	ADIR003290
OG0000143	CQUJHB014059, CQUJHB002965, CQUJHB006194	ADIR004529
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	ADIR015797, ADIR015798
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	ADIR011038
OG0000148	CQUJHB017061	ADIR005101
OG0000149	CQUJHB010028	ADIR007907
OG0000149	CQUJHB014966	ADIR007908
OG0000150	CQUJHB006439	ADIR008060
OG0000151	CQUJHB018327	ADIR015810
OG0000152	CQUJHB014990	ADIR015582
OG0000152	CQUJHB000800, CQUJHB010394	ADIR008754, ADIR006715
OG0000152	CQUJHB009136	ADIR008753
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	ADIR006364
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	ADIR005418
OG0000156	CQUJHB015798, CQUJHB008291, CQUJHB004586, CQUJHB000634	ADIR011505, ADIR011732
OG0000157	CQUJHB001379	ADIR006810
OG0000161	CQUJHB017743	ADIR005168
OG0000161	CQUJHB000076	ADIR003591
OG0000162	CQUJHB009418	ADIR000480
OG0000162	CQUJHB004329	ADIR000482
OG0000163	CQUJHB015427	ADIR015554
OG0000163	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576	ADIR015557
OG0000163	CQUJHB004810, CQUJHB003658	ADIR015556
OG0000164	CQUJHB011226	ADIR004411
OG0000164	CQUJHB012144, CQUJHB018124	ADIR004413
OG0000165	CQUJHB004809	ADIR001509
OG0000165	CQUJHB001386	ADIR001510
OG0000165	CQUJHB008494	ADIR009841, ADIR005706
OG0000166	CQUJHB002907	ADIR016085
OG0000166	CQUJHB004489	ADIR008138
OG0000166	CQUJHB009503, CQUJHB000077	ADIR016086
OG0000171	CQUJHB006525	ADIR002126
OG0000172	CQUJHB004762	ADIR000138
OG0000172	CQUJHB006283	ADIR000141
OG0000172	CQUJHB003020	ADIR000131
OG0000173	CQUJHB013713	ADIR011553
OG0000173	CQUJHB001093, CQUJHB007201	ADIR011554
OG0000174	CQUJHB012327	ADIR000944
OG0000174	CQUJHB009037, CQUJHB004035	ADIR015737
OG0000174	CQUJHB011054	ADIR015738
OG0000181	CQUJHB018406, CQUJHB017566	ADIR008823, ADIR008822
OG0000182	CQUJHB010205	ADIR005388
OG0000182	CQUJHB012840	ADIR016062
OG0000182	CQUJHB007241	ADIR016059, ADIR016061
OG0000183	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217	ADIR006377, ADIR005819
OG0000184	CQUJHB005313	ADIR006005
OG0000184	CQUJHB020350, CQUJHB003938, CQUJHB000274	ADIR015591, ADIR015590
OG0000185	CQUJHB017110, CQUJHB016405, CQUJHB006617	ADIR000196
OG0000185	CQUJHB017959, CQUJHB000372	ADIR016097
OG0000187	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136	ADIR002758
OG0000188	CQUJHB017292, CQUJHB007220, CQUJHB003135	ADIR009257, ADIR009256
OG0000189	CQUJHB011357	ADIR005379
OG0000189	CQUJHB001514, CQUJHB016877	ADIR010508
OG0000190	CQUJHB014000	ADIR011475
OG0000190	CQUJHB013041	ADIR011077
OG0000190	CQUJHB007455	ADIR004999
OG0000191	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469	ADIR007485, ADIR014641
OG0000192	CQUJHB011350	ADIR010909
OG0000192	CQUJHB011486	ADIR005792
OG0000192	CQUJHB006523	ADIR000914
OG0000193	CQUJHB016836, CQUJHB008892, CQUJHB000131	ADIR005330
OG0000194	CQUJHB007940	ADIR005946
OG0000196	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062	ADIR010880
OG0000197	CQUJHB014888, CQUJHB008727, CQUJHB015443	ADIR010797
OG0000200	CQUJHB003055	ADIR000096
OG0000200	CQUJHB000054	ADIR000097
OG0000200	CQUJHB006956	ADIR006692
OG0000201	CQUJHB015906	ADIR004196
OG0000202	CQUJHB017404, CQUJHB010576	ADIR003924
OG0000204	CQUJHB015536, CQUJHB018050	ADIR015854, ADIR016103, ADIR015857
OG0000204	CQUJHB009121	ADIR015855
OG0000205	CQUJHB006892	ADIR005975
OG0000207	CQUJHB009425	ADIR016010, ADIR016011
OG0000208	CQUJHB002746	ADIR001797
OG0000208	CQUJHB017609, CQUJHB006033, CQUJHB016545	ADIR001798
OG0000209	CQUJHB000140	ADIR001972
OG0000210	CQUJHB015488, CQUJHB015097, CQUJHB007162	ADIR000241
OG0000217	CQUJHB018057	ADIR010726
OG0000217	CQUJHB008942	ADIR005194
OG0000218	CQUJHB001220	ADIR011222
OG0000219	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367	ADIR001531
OG0000220	CQUJHB002011	ADIR006414
OG0000221	CQUJHB011640	ADIR011011
OG0000221	CQUJHB016680, CQUJHB007754	ADIR003610
OG0000222	CQUJHB015532	ADIR000671
OG0000223	CQUJHB009151	ADIR010046
OG0000224	CQUJHB005624	ADIR008980, ADIR008979
OG0000225	CQUJHB018221	ADIR016029
OG0000225	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873	ADIR016028, ADIR016027
OG0000229	CQUJHB007133	ADIR002810
OG0000229	CQUJHB010008	ADIR005804, ADIR005315
OG0000230	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972	ADIR006854
OG0000231	CQUJHB015552, CQUJHB009864	ADIR007453, ADIR007454
OG0000232	CQUJHB004882	ADIR006899, ADIR016139, ADIR016138
OG0000233	CQUJHB013827, CQUJHB005784	ADIR010041
OG0000234	CQUJHB001691	ADIR000732
OG0000234	CQUJHB001439	ADIR000742
OG0000234	CQUJHB012585	ADIR000738
OG0000235	CQUJHB006661, CQUJHB013626, CQUJHB008173, CQUJHB013536, CQUJHB015825	ADIR002045
OG0000236	CQUJHB005892, CQUJHB007626, CQUJHB015922	ADIR010024, ADIR000559
OG0000237	CQUJHB010154	ADIR015947, ADIR015946
OG0000244	CQUJHB007355	ADIR005063
OG0000244	CQUJHB012679	ADIR005071
OG0000245	CQUJHB000799	ADIR002600
OG0000247	CQUJHB002713, CQUJHB017013	ADIR007929, ADIR007928
OG0000247	CQUJHB002013	ADIR007931
OG0000248	CQUJHB012099	ADIR015997
OG0000248	CQUJHB010965	ADIR015996
OG0000249	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190	ADIR001663
OG0000250	CQUJHB012300	ADIR015773
OG0000250	CQUJHB006421	ADIR015774
OG0000250	CQUJHB004522	ADIR015775
OG0000251	CQUJHB008705	ADIR002011
OG0000252	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858	ADIR001823
OG0000252	CQUJHB008290	ADIR014170, ADIR014169
OG0000253	CQUJHB011918, CQUJHB003161	ADIR010453, ADIR010451, ADIR010452
OG0000254	CQUJHB001657	ADIR005871
OG0000254	CQUJHB009978	ADIR008307
OG0000255	CQUJHB003529	ADIR008975
OG0000256	CQUJHB009160	ADIR003548
OG0000256	CQUJHB014478	ADIR003547
OG0000257	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765	ADIR004880
OG0000260	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286	ADIR015800, ADIR015801, ADIR015802, ADIR015799, ADIR015803
OG0000265	CQUJHB003184	ADIR008235, ADIR008228
OG0000265	CQUJHB006489	ADIR001201
OG0000266	CQUJHB002351	ADIR006770
OG0000266	CQUJHB011998	ADIR000724, ADIR000723
OG0000268	CQUJHB012623	ADIR005898, ADIR005897
OG0000268	CQUJHB010904	ADIR005896
OG0000269	CQUJHB013165, CQUJHB003189	ADIR016218
OG0000270	CQUJHB003727, CQUJHB017973, CQUJHB003318	ADIR001672, ADIR001921
OG0000272	CQUJHB005415, CQUJHB017192	ADIR001841, ADIR001852
OG0000274	CQUJHB003245, CQUJHB014187, CQUJHB000081	ADIR009412
OG0000275	CQUJHB000546, CQUJHB005342, CQUJHB010174, CQUJHB012136, CQUJHB006340, CQUJHB000241, CQUJHB013765	ADIR010509
OG0000276	CQUJHB004277, CQUJHB012726, CQUJHB008874, CQUJHB010302, CQUJHB001377, CQUJHB004937, CQUJHB013546, CQUJHB006216	ADIR002281
OG0000277	CQUJHB010575, CQUJHB010852, CQUJHB004755, CQUJHB010749, CQUJHB002174, CQUJHB009714, CQUJHB010492, CQUJHB016702, CQUJHB013862	ADIR002721, ADIR002720
OG0000278	CQUJHB008764, CQUJHB011798	ADIR001634, ADIR001650, ADIR001649, ADIR001631
OG0000279	CQUJHB005102	ADIR000638
OG0000279	CQUJHB013635, CQUJHB001819	ADIR000639
OG0000280	CQUJHB000493	ADIR004759
OG0000285	CQUJHB011294	ADIR002894
OG0000286	CQUJHB008968, CQUJHB015387	ADIR005642
OG0000288	CQUJHB010147	ADIR006111, ADIR015495
OG0000289	CQUJHB011529, CQUJHB001666, CQUJHB017987	ADIR016116, ADIR016115
OG0000290	CQUJHB002754, CQUJHB008405	ADIR002288, ADIR002287
OG0000291	CQUJHB017541	ADIR007609
OG0000291	CQUJHB015406	ADIR015675
OG0000292	CQUJHB017021	ADIR009319
OG0000292	CQUJHB008145	ADIR009317
OG0000293	CQUJHB008571	ADIR000907
OG0000293	CQUJHB000229, CQUJHB000928, CQUJHB011680	ADIR008608
OG0000294	CQUJHB015184	ADIR002676
OG0000294	CQUJHB009494	ADIR005219
OG0000295	CQUJHB020305, CQUJHB011786	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168
OG0000296	CQUJHB017172	ADIR000603
OG0000297	CQUJHB004146, CQUJHB000290	ADIR015723
OG0000297	CQUJHB011318	ADIR015724
OG0000298	CQUJHB011277	ADIR007480
OG0000298	CQUJHB012628	ADIR014006
OG0000299	CQUJHB014668	ADIR010341
OG0000299	CQUJHB005162, CQUJHB009370	ADIR002354
OG0000300	CQUJHB009969, CQUJHB015841, CQUJHB004971, CQUJHB004484, CQUJHB012791, CQUJHB008483, CQUJHB001208, CQUJHB014241, CQUJHB018084, CQUJHB007208, CQUJHB002456, CQUJHB001900, CQUJHB010645, CQUJHB016923, CQUJHB016527, CQUJHB010855	ADIR003683
