Orthogroup	CquinquefasciatusJHB2020	AsinensisChina
OG0000109	CQUJHB007563	ASIC014256
OG0000111	CQUJHB001127, CQUJHB016273	ASIC012092, ASIC012080, ASIC006082
OG0000114	CQUJHB008130, CQUJHB012994, CQUJHB001438, CQUJHB002918, CQUJHB003734	ASIC012081
OG0000115	CQUJHB014380	ASIC017431
OG0000116	CQUJHB007929	ASIC006403
OG0000116	CQUJHB009840	ASIC006402
OG0000116	CQUJHB015910	ASIC014540
OG0000116	CQUJHB002792	ASIC014538, ASIC006401
OG0000119	CQUJHB001620	ASIC016830
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	ASIC016832, ASIC016833
OG0000120	CQUJHB006803	ASIC011544
OG0000120	CQUJHB014331, CQUJHB001450	ASIC011541
OG0000121	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330	ASIC001472
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	ASIC008877
OG0000128	CQUJHB011093	ASIC015309
OG0000128	CQUJHB006737	ASIC015247
OG0000128	CQUJHB017854	ASIC015248
OG0000129	CQUJHB000384, CQUJHB003430, CQUJHB014096	ASIC008763, ASIC008762
OG0000130	CQUJHB016267	ASIC008146
OG0000130	CQUJHB001771	ASIC012064, ASIC012065
OG0000131	CQUJHB000645	ASIC012145
OG0000131	CQUJHB004459	ASIC012146
OG0000131	CQUJHB010920	ASIC012148
OG0000131	CQUJHB014041	ASIC012034
OG0000132	CQUJHB008636	ASIC014945, ASIC014943
OG0000132	CQUJHB010862	ASIC014946
OG0000132	CQUJHB003091	ASIC002822
OG0000133	CQUJHB009822	ASIC017840, ASIC017841
OG0000133	CQUJHB016449	ASIC017520
OG0000134	CQUJHB006248, CQUJHB017587, CQUJHB010568	ASIC019149
OG0000134	CQUJHB012326	ASIC019146, ASIC019145, ASIC019147
OG0000135	CQUJHB017649	ASIC020740, ASIC020739
OG0000135	CQUJHB008581	ASIC015458, ASIC007191
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	ASIC007232
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	ASIC018449, ASIC018448, ASIC019151, ASIC018446
OG0000142	CQUJHB011887	ASIC011129, ASIC010497
OG0000142	CQUJHB002040	ASIC004901
OG0000142	CQUJHB003927	ASIC014682
OG0000143	CQUJHB002965	ASIC008424
OG0000143	CQUJHB006194	ASIC008426
OG0000144	CQUJHB000312	ASIC015934
OG0000144	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921	ASIC021886
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	ASIC008229
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	ASIC002221, ASIC002222, ASIC002220
OG0000148	CQUJHB000776	ASIC007934
OG0000148	CQUJHB017061	ASIC012007
OG0000149	CQUJHB010028	ASIC018439
OG0000149	CQUJHB012080	ASIC018436
OG0000149	CQUJHB014966	ASIC018437
OG0000149	CQUJHB017015, CQUJHB010834	ASIC018438
OG0000150	CQUJHB006439	ASIC011027
OG0000151	CQUJHB018327	ASIC009913, ASIC009914
OG0000152	CQUJHB014990, CQUJHB000800, CQUJHB010394	ASIC004877
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	ASIC020577, ASIC020578
OG0000157	CQUJHB001379	ASIC010788
OG0000157	CQUJHB007316, CQUJHB018173, CQUJHB009836	ASIC019241
OG0000161	CQUJHB000076	ASIC019631
OG0000162	CQUJHB009418	ASIC018387
OG0000162	CQUJHB020435, CQUJHB014569	ASIC018375
OG0000162	CQUJHB004329	ASIC018379
OG0000162	CQUJHB020337	ASIC018380
OG0000163	CQUJHB015427	ASIC007358
OG0000163	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576	ASIC007362
OG0000163	CQUJHB004810, CQUJHB003658	ASIC007363, ASIC007359
OG0000164	CQUJHB011226	ASIC021805
OG0000164	CQUJHB012144, CQUJHB018124	ASIC021916
OG0000164	CQUJHB012545	ASIC021828
OG0000165	CQUJHB004809	ASIC020384
