Orthogroup	CquinquefasciatusJHB2020	AgambiaePEST
OG0000096	CQUJHB018308	AGAP008622
OG0000096	CQUJHB008108	AGAP005293
OG0000096	CQUJHB008616	AGAP010510
OG0000097	CQUJHB012977	AGAP013318
OG0000097	CQUJHB011218, CQUJHB006589	AGAP013451
OG0000097	CQUJHB017887	AGAP002592
OG0000097	CQUJHB015073	AGAP002593, AGAP029385, AGAP013229
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218
OG0000104	CQUJHB003501	AGAP009159
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	AGAP008545, AGAP028059, AGAP028140, AGAP008544
OG0000107	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925	AGAP013529, AGAP002855, AGAP002856, AGAP002854
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	AGAP006187
OG0000109	CQUJHB017035	AGAP006427
OG0000109	CQUJHB000019	AGAP029457
OG0000109	CQUJHB012435	AGAP004603
OG0000109	CQUJHB007563	AGAP029686
OG0000111	CQUJHB001127, CQUJHB016273	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460
OG0000114	CQUJHB008130, CQUJHB012994	AGAP028151, AGAP028057
OG0000114	CQUJHB001438, CQUJHB002918, CQUJHB003734	AGAP008458
OG0000115	CQUJHB014380	AGAP006594
OG0000116	CQUJHB007929	AGAP008437
OG0000116	CQUJHB009840	AGAP028128, AGAP027980
OG0000116	CQUJHB015910	AGAP009835
OG0000119	CQUJHB001620	AGAP005834
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	AGAP005835, AGAP005836, AGAP005837
OG0000120	CQUJHB006803	AGAP001249
OG0000120	CQUJHB014331, CQUJHB001450	AGAP001245
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	AGAP001825
OG0000128	CQUJHB011093	AGAP010917
OG0000128	CQUJHB006737	AGAP011366
OG0000128	CQUJHB017854	AGAP011365
OG0000129	CQUJHB000384, CQUJHB003430, CQUJHB014096	AGAP012996, AGAP001552, AGAP013124
OG0000129	CQUJHB016178, CQUJHB012226	AGAP013450, AGAP013239
OG0000130	CQUJHB016267	AGAP001899
OG0000130	CQUJHB001771	AGAP008468, AGAP028049
OG0000131	CQUJHB000645	AGAP009877
OG0000131	CQUJHB004459	AGAP009876
OG0000131	CQUJHB010920	AGAP009875
OG0000131	CQUJHB014041	AGAP009871
OG0000132	CQUJHB008636	AGAP013132, AGAP004807, AGAP012529
OG0000132	CQUJHB010862	AGAP004806
OG0000132	CQUJHB003091	AGAP011287
OG0000133	CQUJHB009822	AGAP012279
OG0000133	CQUJHB016449	AGAP011610
OG0000134	CQUJHB006248, CQUJHB017587, CQUJHB010568	AGAP006726
OG0000134	CQUJHB012326	AGAP006728, AGAP006727
OG0000135	CQUJHB017649	AGAP008968
OG0000135	CQUJHB008910	AGAP029163, AGAP029157, AGAP007907
OG0000135	CQUJHB008581	AGAP011482, AGAP007906, AGAP009527
OG0000136	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282	AGAP011204
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	AGAP009509
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	AGAP005758, AGAP005757, AGAP005756
OG0000142	CQUJHB011887	AGAP003422, AGAP003423
OG0000142	CQUJHB002040	AGAP003432
OG0000142	CQUJHB003927	AGAP003078
OG0000143	CQUJHB006194	AGAP002419
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	AGAP001956, AGAP013106
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018
OG0000148	CQUJHB001186	AGAP009751
OG0000148	CQUJHB000776	AGAP009754, AGAP009756, AGAP009755
OG0000148	CQUJHB017061	AGAP009757
OG0000149	CQUJHB010028	AGAP005753
OG0000149	CQUJHB012080	AGAP005750
OG0000149	CQUJHB014966	AGAP005751
OG0000149	CQUJHB017015, CQUJHB010834	AGAP005752
OG0000150	CQUJHB006439	AGAP007104
OG0000151	CQUJHB018327	AGAP003785, AGAP012609
OG0000152	CQUJHB014990	AGAP006398
OG0000152	CQUJHB005329	AGAP006102
OG0000152	CQUJHB009136	AGAP006103
