Orthogroup	AfunestusAfunGA1	CquinquefasciatusJHB2020
OG0000057	AFUN2_008318, AFUN2_006014, AFUN2_000600	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	AFUN2_011854, AFUN2_008788	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	AFUN2_002438	CQUJHB016789
OG0000058	AFUN2_002842	CQUJHB013221
OG0000058	AFUN2_001688	CQUJHB005830
OG0000059	AFUN2_006267	CQUJHB005700
OG0000059	AFUN2_010578, AFUN2_006502, AFUN2_012387	CQUJHB006696
OG0000059	AFUN2_014242, AFUN2_009466	CQUJHB011753
OG0000060	AFUN2_014460	CQUJHB004792
OG0000060	AFUN2_011607	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000060	AFUN2_000444, AFUN2_013952	CQUJHB002343
OG0000061	AFUN2_000988	CQUJHB009715, CQUJHB015055
OG0000061	AFUN2_001934	CQUJHB017379
OG0000061	AFUN2_001889	CQUJHB011103, CQUJHB002901
OG0000062	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711	CQUJHB009702
OG0000063	AFUN2_005096	CQUJHB018065
OG0000063	AFUN2_009682	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091
OG0000064	AFUN2_002334, AFUN2_013676	CQUJHB003566, CQUJHB000930
OG0000067	AFUN2_003888	CQUJHB012309
OG0000067	AFUN2_012011	CQUJHB007474, CQUJHB016064
OG0000067	AFUN2_003045	CQUJHB016947
OG0000067	AFUN2_008039	CQUJHB018109
OG0000067	AFUN2_008602	CQUJHB014152
OG0000068	AFUN2_012196	CQUJHB004402
OG0000068	AFUN2_006617	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	AFUN2_013302	CQUJHB001983
OG0000068	AFUN2_009586	CQUJHB009275
OG0000069	AFUN2_014241	CQUJHB002460
OG0000069	AFUN2_004523	CQUJHB012428
OG0000069	AFUN2_006118, AFUN2_010311, AFUN2_012252	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	AFUN2_007775, AFUN2_009753	CQUJHB009539, CQUJHB013274
OG0000071	AFUN2_014078	CQUJHB005863, CQUJHB017394
OG0000071	AFUN2_008604, AFUN2_008424, AFUN2_006008	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	AFUN2_010362	CQUJHB006781
OG0000072	AFUN2_008401	CQUJHB004785
OG0000072	AFUN2_008209	CQUJHB005018, CQUJHB006868
OG0000073	AFUN2_006853	CQUJHB000587
OG0000073	AFUN2_012208	CQUJHB014734
OG0000074	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	AFUN2_006428	CQUJHB007995
OG0000075	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	AFUN2_000390, AFUN2_002799, AFUN2_012586	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	AFUN2_001755	CQUJHB001286
OG0000077	AFUN2_000688, AFUN2_006649	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000077	AFUN2_002148	CQUJHB018214
OG0000079	AFUN2_004202	CQUJHB005309
OG0000079	AFUN2_012158, AFUN2_003268, AFUN2_001951	CQUJHB003821, CQUJHB018448
OG0000079	AFUN2_003859	CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	AFUN2_011331	CQUJHB017034, CQUJHB010133
