Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0000024	AFUN2_008754, AFUN2_004514, AFUN2_001856, AFUN2_009727, AFUN2_006932, AFUN2_001526, AFUN2_012131	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	AFUN2_007391, AFUN2_005277, AFUN2_003253, AFUN2_004905, AFUN2_006722	LOC129792737, LOC129792738
OG0000026	AFUN2_005978	LOC129794486, LOC129789610
OG0000027	AFUN2_012022, AFUN2_002065, AFUN2_004791	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462
OG0000028	AFUN2_013164	LOC129791254, LOC129794054
OG0000028	AFUN2_006996	LOC129790109
OG0000028	AFUN2_008286, AFUN2_011015	LOC129788162, LOC129791752
OG0000030	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352	LOC129790527
OG0000033	AFUN2_014039, AFUN2_008608, AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576	LOC129794355, LOC129787784
OG0000034	AFUN2_000777, AFUN2_002152, AFUN2_005553, AFUN2_004371, AFUN2_010024, AFUN2_014222	LOC129791586
OG0000037	AFUN2_013181	LOC129794681, LOC129790942
OG0000038	AFUN2_013078, AFUN2_005392	LOC129790825, LOC129795201
OG0000041	AFUN2_000732, AFUN2_014438, AFUN2_001049, AFUN2_010115, AFUN2_014544	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	AFUN2_006305, AFUN2_003082, AFUN2_013805	LOC129797654
OG0000049	AFUN2_008624, AFUN2_012748, AFUN2_002192, AFUN2_013459	LOC129794518
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	LOC129786156
OG0000052	AFUN2_013880	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000055	AFUN2_003795	LOC129797106
OG0000055	AFUN2_007989	LOC129792602
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	LOC129793457, LOC129787314
OG0000058	AFUN2_011854, AFUN2_008788	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	AFUN2_002438, AFUN2_002842, AFUN2_001688	LOC129790199
