Orthogroup	AdirusWRAIR2	Aalbopictus_AalbF5
OG0000152	ADIR008753	LOC109420225
OG0000154	ADIR006364	LOC109421560, LOC109409214, LOC109409172
OG0000155	ADIR005418	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399
OG0000156	ADIR011505, ADIR011732	LOC115257818, LOC134291361, LOC115261634, LOC115268995, LOC115261629, LOC134291401, LOC134289633, LOC109426273, LOC115255171, LOC134291491, LOC134286123, LOC109402512, LOC134286122
OG0000157	ADIR006810	LOC109421165
OG0000160	ADIR003566	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944
OG0000161	ADIR003591	LOC115263538, LOC109415748
OG0000162	ADIR000480	LOC109416740
OG0000162	ADIR000482	LOC109416738
OG0000163	ADIR015554	LOC115264896
OG0000163	ADIR015557	LOC109408545
OG0000163	ADIR015556	LOC109429593
OG0000164	ADIR004411	LOC134285492
OG0000164	ADIR004413	LOC109430385
OG0000165	ADIR001510	LOC115256356, LOC109421988
OG0000165	ADIR009841, ADIR005706	LOC115256354
OG0000166	ADIR016085	LOC109397863
OG0000166	ADIR008138	LOC109418973
OG0000166	ADIR016086	LOC109418976
OG0000171	ADIR002126	LOC134289646
OG0000172	ADIR000138	LOC109414400
OG0000172	ADIR000141	LOC109410572
OG0000172	ADIR000131	LOC109421132
OG0000174	ADIR015737	LOC115256529
OG0000176	ADIR003904	LOC109406092
OG0000181	ADIR008823, ADIR008822	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750
OG0000182	ADIR005388	LOC115259581
OG0000182	ADIR016062	LOC115253802, LOC109400865
OG0000182	ADIR016059, ADIR016061	LOC109429307
OG0000183	ADIR006377, ADIR005819	LOC115256357, LOC109407271, LOC109402674, LOC109405890
OG0000184	ADIR006005	LOC109411770, LOC109416825
OG0000184	ADIR015591, ADIR015590	LOC109411788
OG0000185	ADIR000196	LOC109401553, LOC109402898, LOC109420356
OG0000185	ADIR016097	LOC109419367
OG0000186	ADIR005277, ADIR001987, ADIR004662, ADIR009730, ADIR005658, ADIR001931, ADIR009836, ADIR010821, ADIR004341, ADIR001696	LOC134286171, LOC134291070
OG0000187	ADIR002758	LOC109415488
OG0000188	ADIR009257, ADIR009256	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254
OG0000189	ADIR005379	LOC109398456
OG0000189	ADIR010508	LOC115264694, LOC115264672, LOC115266712
OG0000190	ADIR011475	LOC134287929
OG0000190	ADIR011077	LOC109429277
OG0000190	ADIR004999	LOC109420894
OG0000191	ADIR007485, ADIR014641	LOC109425624, LOC115269665
OG0000192	ADIR010909	LOC115268599
OG0000192	ADIR005792	LOC109407097
OG0000192	ADIR000914	LOC109424591
OG0000193	ADIR005330	LOC109418366, LOC109426146, LOC109426147, LOC109417593
OG0000194	ADIR005946	LOC115268005
OG0000196	ADIR010880	LOC109417644, LOC109410244, LOC115255412, LOC115255411
OG0000197	ADIR010797	LOC109400259, LOC115270469, LOC115255860, LOC115269892, LOC134284776, LOC134287934, LOC115265401, LOC115269304, LOC115267345, LOC109622052, LOC134291582
OG0000200	ADIR000096	LOC109415401
OG0000200	ADIR000097	LOC109410678
OG0000200	ADIR006692	LOC115263783
OG0000201	ADIR004196	LOC115269915, LOC115270394
OG0000202	ADIR003924	LOC109421839, LOC109421838
OG0000204	ADIR015854, ADIR016103, ADIR015857	LOC109425685, LOC109422978
OG0000204	ADIR015855	LOC109422968
OG0000204	ADIR015856	LOC109422959
OG0000205	ADIR005975	LOC109411753
OG0000206	ADIR000696	LOC109414302
OG0000207	ADIR016010, ADIR016011	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626
OG0000209	ADIR001972	LOC109403367
OG0000210	ADIR000241	LOC109402346
OG0000217	ADIR010726	LOC109419237
OG0000217	ADIR005194	LOC109431380
OG0000218	ADIR011222	LOC109421462
OG0000218	ADIR011220, ADIR011219	LOC109421387
OG0000219	ADIR001531	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992
OG0000220	ADIR006414	LOC109622226, LOC109623014
OG0000221	ADIR011011	LOC109410283, LOC109410284
OG0000221	ADIR003610	LOC109430808, LOC134283951, LOC109424170
OG0000222	ADIR000671	LOC109431412
OG0000223	ADIR010046	LOC109422010
OG0000224	ADIR008980, ADIR008979	LOC109414163
OG0000225	ADIR016029	LOC115257287
OG0000225	ADIR016028, ADIR016027	LOC109405426, LOC115257288
