Orthogroup	AdirusWRAIR2	LlongipalpisASM
OG0000443	ADIR005386, ADIR007351	LOC129786466
OG0000445	ADIR000225, ADIR000224	LOC129795393
OG0000446	ADIR007631, ADIR007632	LOC129792631
OG0000447	ADIR006355, ADIR016048	LOC129791462
OG0000448	ADIR007075	LOC129791218
OG0000448	ADIR002786	LOC129797162
OG0000449	ADIR001435	LOC129788782
OG0000449	ADIR011623	LOC129795663
OG0000450	ADIR006287	LOC129791284
OG0000451	ADIR001343, ADIR001344	LOC129797430
OG0000453	ADIR002048, ADIR009313, ADIR001478	LOC129796269
OG0000454	ADIR006123	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956
OG0000455	ADIR003615	LOC129793202
OG0000455	ADIR001796	LOC129795185, LOC129794005
OG0000456	ADIR011403, ADIR008105	LOC129789003
OG0000457	ADIR010440	LOC129797501
OG0000457	ADIR010441	LOC129797497
OG0000460	ADIR010287, ADIR010285	LOC129786399
OG0000461	ADIR001398	LOC129788689, LOC129788691
OG0000464	ADIR006989, ADIR006988	LOC129792136
OG0000465	ADIR009087, ADIR001140	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823
OG0000466	ADIR001786, ADIR000450	LOC129788859
OG0000476	ADIR015518, ADIR015520	LOC129797587, LOC129797598
OG0000478	ADIR009352	LOC129789679
OG0000478	ADIR009353	LOC129789267
OG0000479	ADIR003422, ADIR003423	LOC129786132, LOC129786130
OG0000480	ADIR000106, ADIR000107	LOC129795298
OG0000481	ADIR004329	LOC129793585
OG0000482	ADIR015529, ADIR015530	LOC129789436
OG0000484	ADIR009697, ADIR000755	LOC129797633
OG0000485	ADIR011226	LOC129795192
OG0000486	ADIR004130, ADIR010048	LOC129796376
OG0000487	ADIR011456, ADIR002382	LOC129796445
OG0000489	ADIR011660, ADIR011661	LOC129789596
OG0000490	ADIR002278	LOC129797526, LOC129793927
OG0000491	ADIR010196	LOC129786095
OG0000492	ADIR001274, ADIR015512	LOC129790192
OG0000494	ADIR001926	LOC129795759
OG0000494	ADIR006809	LOC129795756
OG0000495	ADIR008544	LOC129789139
OG0000496	ADIR016174	LOC129786268
OG0000497	ADIR010268, ADIR011592	LOC129787431
OG0000498	ADIR001903	LOC129786578, LOC129786574, LOC129786579
OG0000499	ADIR003605	LOC129790607
