Orthogroup	AdirusWRAIR2	LlongipalpisASM
OG0004222	ADIR008323	LOC129786281
OG0004223	ADIR008328	LOC129786257
OG0004224	ADIR010729	LOC129794609
OG0004225	ADIR002443	LOC129793398
OG0004226	ADIR002440	LOC129793324
OG0004227	ADIR014284	LOC129790404
OG0004228	ADIR005327	LOC129797637
OG0004229	ADIR003361	LOC129787527
OG0004230	ADIR010733	LOC129786717
OG0004231	ADIR015701	LOC129786073
OG0004232	ADIR001289	LOC129795134
OG0004233	ADIR001266	LOC129788491
OG0004234	ADIR001268	LOC129788488
OG0004236	ADIR001276	LOC129789340
OG0004237	ADIR001228	LOC129785900
OG0004238	ADIR000885	LOC129797859
OG0004239	ADIR001526	LOC129785894
OG0004240	ADIR006970	LOC129792012
OG0004241	ADIR006973	LOC129793037
OG0004242	ADIR006972	LOC129794009
OG0004243	ADIR006974	LOC129793034
OG0004244	ADIR007733	LOC129796073
OG0004245	ADIR004171	LOC129793041
OG0004246	ADIR003746	LOC129793354
OG0004247	ADIR011073	LOC129789086
OG0004248	ADIR007732	LOC129794871
OG0004249	ADIR007702	LOC129791866
OG0004250	ADIR016155	LOC129791791
OG0004251	ADIR008030	LOC129791597
OG0004252	ADIR008031	LOC129792897
OG0004253	ADIR002418	LOC129787965
OG0004254	ADIR000073	LOC129796107
OG0004255	ADIR006968	LOC129791718
OG0004256	ADIR006969	LOC129791716
OG0004257	ADIR008491	LOC129796910
OG0004258	ADIR004947	LOC129790556
OG0004259	ADIR002117	LOC129796016
OG0004260	ADIR002224	LOC129795946
OG0004261	ADIR009663	LOC129796540
OG0004262	ADIR002223	LOC129795495
OG0004263	ADIR003997	LOC129788719
OG0004264	ADIR008686	LOC129789164
OG0004265	ADIR003993	LOC129788715
OG0004266	ADIR006640	LOC129788064
OG0004267	ADIR010433	LOC129797502
OG0004269	ADIR008266	LOC129788205
OG0004270	ADIR010380	LOC129785879
OG0004271	ADIR010381	LOC129785875
OG0004272	ADIR004803	LOC129791302
OG0004273	ADIR008740	LOC129786448
OG0004274	ADIR009786	LOC129787401
OG0004275	ADIR009255	LOC129797620
OG0004276	ADIR000598	LOC129788646
OG0004277	ADIR006261	LOC129794068
OG0004278	ADIR004116	LOC129789884
OG0004279	ADIR009824	LOC129787880
OG0004280	ADIR008880	LOC129787100
OG0004281	ADIR006260	LOC129794174
OG0004282	ADIR011332	LOC129788635
OG0004283	ADIR004322	LOC129786979
OG0004284	ADIR004336	LOC129786747
OG0004285	ADIR011617	LOC129790903
OG0004286	ADIR005590	LOC129795286
OG0004287	ADIR002162	LOC129795516
OG0004288	ADIR011614	LOC129790180
OG0004289	ADIR009601	LOC129796070
OG0004290	ADIR011310	LOC129797127
OG0004291	ADIR011323	LOC129790338
OG0004292	ADIR011304	LOC129791305
OG0004293	ADIR011305	LOC129788514
OG0004294	ADIR011321	LOC129790330
OG0004295	ADIR003581	LOC129792159
OG0004298	ADIR002694	LOC129786603
OG0004299	ADIR003089	LOC129797200
OG0004300	ADIR002479	LOC129797192
OG0004301	ADIR002692	LOC129788637
OG0004302	ADIR015596	LOC129797180
OG0004303	ADIR002682	LOC129797146
OG0004304	ADIR003154	LOC129797191
OG0004305	ADIR003163	LOC129793406
OG0004306	ADIR002683	LOC129797154
OG0004307	ADIR003157	LOC129797188
OG0004308	ADIR002685	LOC129797136
OG0004309	ADIR003091	LOC129797196
OG0004310	ADIR003158	LOC129797190
OG0004311	ADIR015595	LOC129797185
OG0004312	ADIR001929	LOC129791838
OG0004313	ADIR001923	LOC129795981
OG0004314	ADIR001924	LOC129795675
OG0004315	ADIR009613	LOC129796219
OG0004316	ADIR002213	LOC129797479
OG0004317	ADIR001932	LOC129788043
OG0004318	ADIR002222	LOC129796482
OG0004319	ADIR015510	LOC129795405
OG0004320	ADIR001341	LOC129790422
OG0004321	ADIR001933	LOC129795402
OG0004322	ADIR000244	LOC129794173
OG0004324	ADIR009614	LOC129796216
OG0004325	ADIR002219	LOC129796035
OG0004326	ADIR000236	LOC129791895
OG0004327	ADIR002218	LOC129796258
OG0004328	ADIR001925	LOC129796026
OG0004330	ADIR000243	LOC129787389
OG0004331	ADIR008201	LOC129791627
OG0004332	ADIR007023	LOC129792902
OG0004333	ADIR001880	LOC129796259
OG0004335	ADIR000223	LOC129788568
OG0004336	ADIR002361	LOC129795893
OG0004337	ADIR011629	LOC129795509
OG0004338	ADIR007279	LOC129791631
OG0004339	ADIR001881	LOC129796124
OG0004341	ADIR001882	LOC129795521
OG0004342	ADIR007024	LOC129791801
OG0004343	ADIR010479	LOC129797708
OG0004345	ADIR016154	LOC129787923
OG0004346	ADIR010485	LOC129797724
OG0004347	ADIR010965	LOC129790570
OG0004348	ADIR009142	LOC129795561
OG0004349	ADIR002035	LOC129796051
OG0004350	ADIR011379	LOC129794080
OG0004351	ADIR010962	LOC129796939
OG0004352	ADIR006793	LOC129789655
OG0004353	ADIR002261	LOC129796166
OG0004354	ADIR003985	LOC129790550
OG0004355	ADIR002038	LOC129794625
OG0004356	ADIR010964	LOC129796937
OG0004357	ADIR002264	LOC129795056
OG0004358	ADIR010967	LOC129790553
OG0004359	ADIR002262	LOC129796056
OG0004360	ADIR004344	LOC129795157
OG0004361	ADIR011378	LOC129794100
OG0004362	ADIR002039	LOC129792504
OG0004363	ADIR011622	LOC129785993
OG0004365	ADIR003821	LOC129793105
OG0004366	ADIR003824	LOC129793000
OG0004367	ADIR003822	LOC129793104
OG0004368	ADIR003823	LOC129792045
OG0004369	ADIR008501	LOC129790786
OG0004371	ADIR001107	LOC129786049
OG0004372	ADIR007508	LOC129787655
OG0004373	ADIR008055	LOC129793957
OG0004374	ADIR004587	LOC129786097
OG0004375	ADIR002073	LOC129795000
OG0004377	ADIR003266	LOC129793893
OG0004378	ADIR002471	LOC129797408
OG0004379	ADIR011411	LOC129791134
OG0004380	ADIR002468	LOC129786491
OG0004381	ADIR001524	LOC129791111
OG0004382	ADIR015793	LOC129797400
OG0004383	ADIR004748	LOC129795824
OG0004385	ADIR002472	LOC129797414
OG0004386	ADIR011412	LOC129789070
OG0004387	ADIR004483	LOC129792949
OG0004388	ADIR011410	LOC129786367
OG0004389	ADIR011409	LOC129789110
OG0004390	ADIR011413	LOC129791862
OG0004391	ADIR004745	LOC129793631
OG0004392	ADIR004757	LOC129790904
OG0004393	ADIR004755	LOC129788986
OG0004394	ADIR004749	LOC129789788
OG0004395	ADIR004752	LOC129792048
OG0004396	ADIR004485	LOC129786500
OG0004397	ADIR007332	LOC129792525
OG0004398	ADIR003676	LOC129792621
OG0004399	ADIR007336	LOC129791903
OG0004400	ADIR007333	LOC129791998
OG0004401	ADIR007325	LOC129792083
OG0004402	ADIR007334	LOC129791879
OG0004403	ADIR007322	LOC129792099
OG0004404	ADIR010450	LOC129786662
OG0004405	ADIR005449	LOC129787761
OG0004406	ADIR005369	LOC129790406
OG0004408	ADIR005373	LOC129786290
OG0004409	ADIR008784	LOC129793499
OG0004410	ADIR009440	LOC129795808
OG0004412	ADIR002920	LOC129788085
OG0004414	ADIR002917	LOC129788125
OG0004415	ADIR002918	LOC129788123
OG0004417	ADIR001392	LOC129790075
OG0004418	ADIR010810	LOC129796241
OG0004419	ADIR010126	LOC129789891
OG0004420	ADIR010806	LOC129794980
OG0004421	ADIR010811	LOC129796178
OG0004422	ADIR010807	LOC129786964
OG0004423	ADIR010805	LOC129797817
OG0004424	ADIR010802	LOC129797477
OG0004425	ADIR010803	LOC129797506
OG0004426	ADIR011406	LOC129789041
OG0004427	ADIR010813	LOC129786503
OG0004428	ADIR006523	LOC129794234
OG0004429	ADIR010534	LOC129795086
OG0004430	ADIR010182	LOC129795723
OG0004431	ADIR008363	LOC129795500
OG0004432	ADIR010183	LOC129795687
OG0004433	ADIR008362	LOC129795474
OG0004435	ADIR004635	LOC129790114
OG0004436	ADIR010535	LOC129797595
OG0004437	ADIR010184	LOC129795467
OG0004438	ADIR008514	LOC129794418
OG0004440	ADIR004556	LOC129787437
OG0004441	ADIR004557	LOC129786615
OG0004442	ADIR008890	LOC129789400
OG0004443	ADIR004554	LOC129787413
OG0004444	ADIR015859	LOC129786243
OG0004445	ADIR004553	LOC129787422
OG0004446	ADIR004559	LOC129787445
OG0004447	ADIR008887	LOC129792261
OG0004448	ADIR015860	LOC129787292
OG0004449	ADIR009424	LOC129791309
OG0004450	ADIR009425	LOC129794830
OG0004451	ADIR011113	LOC129789999
OG0004452	ADIR003541	LOC129792864
OG0004453	ADIR009500	LOC129796698
OG0004454	ADIR002249	LOC129795338
OG0004455	ADIR016108	LOC129796327
OG0004456	ADIR009496	LOC129787030
OG0004458	ADIR009650	LOC129797073
OG0004459	ADIR002240	LOC129788567
OG0004460	ADIR002239	LOC129796325
OG0004461	ADIR016106	LOC129795131
OG0004462	ADIR009498	LOC129787042
OG0004463	ADIR002269	LOC129795816
OG0004464	ADIR002337	LOC129795666
OG0004465	ADIR000102	LOC129796451
OG0004466	ADIR002331	LOC129795671
OG0004467	ADIR002270	LOC129796349
OG0004468	ADIR002332	LOC129795637
OG0004469	ADIR002528	LOC129787113
OG0004470	ADIR005810	LOC129796807
OG0004472	ADIR002828	LOC129785962
OG0004473	ADIR005822	LOC129796798
OG0004474	ADIR002829	LOC129797279
OG0004475	ADIR015700	LOC129787120
OG0004476	ADIR004464	LOC129789912
OG0004477	ADIR004704, ADIR001184	LOC129788597
OG0004478	ADIR000910	LOC129790411
OG0004479	ADIR007802	LOC129795187
OG0004480	ADIR001177	LOC129788871
OG0004481	ADIR000508	LOC129794985
OG0004482	ADIR002290	LOC129795062
OG0004483	ADIR002285	LOC129796535
OG0004484	ADIR000502	LOC129794759
OG0004485	ADIR000503	LOC129795425
OG0004486	ADIR002294	LOC129795132
OG0004487	ADIR000504	LOC129795353
OG0004488	ADIR005984	LOC129796657
OG0004489	ADIR002489	LOC129786102
OG0004490	ADIR006572	LOC129796805
OG0004492	ADIR002483	LOC129796833
OG0004493	ADIR006441	LOC129785991
OG0004494	ADIR002485	LOC129795819
OG0004495	ADIR008916	LOC129786146
OG0004496	ADIR003986	LOC129788601
OG0004497	ADIR007366	LOC129793005
OG0004498	ADIR004594	LOC129791342
OG0004499	ADIR001000	LOC129788417
OG0004500	ADIR006951	LOC129791665
OG0004501	ADIR001073	LOC129790176
OG0004502	ADIR001507	LOC129791380
OG0004503	ADIR001664	LOC129791789
OG0004504	ADIR010281	LOC129792017, LOC129792117
OG0004505	ADIR010282	LOC129792076
OG0004506	ADIR010288	LOC129786415
OG0004507	ADIR010290	LOC129786516
OG0004508	ADIR010278	LOC129790871
OG0004510	ADIR010279	LOC129797500
OG0004511	ADIR001119	LOC129786867
OG0004512	ADIR001412	LOC129789334
OG0004513	ADIR007769	LOC129790885
OG0004514	ADIR014992	LOC129790881
OG0004515	ADIR006717	LOC129786765
OG0004516	ADIR001120	LOC129786755
OG0004517	ADIR001243	LOC129790991
OG0004518	ADIR009839	LOC129786761
OG0004519	ADIR007387	LOC129791997
OG0004520	ADIR008241	LOC129791985
OG0004521	ADIR002961	LOC129786280
OG0004522	ADIR010996	LOC129791386
OG0004523	ADIR002962	LOC129786285
OG0004524	ADIR010997	LOC129796848
OG0004525	ADIR010995	LOC129791343
OG0004526	ADIR003107	LOC129795069
OG0004527	ADIR008717	LOC129793228
OG0004529	ADIR010993	LOC129791050
OG0004531	ADIR011371	LOC129787607
OG0004532	ADIR015505	LOC129794103
OG0004533	ADIR011360	LOC129794151
OG0004535	ADIR015506	LOC129794160
OG0004536	ADIR015977	LOC129794123
OG0004537	ADIR005710	LOC129794825
OG0004538	ADIR005708	LOC129790123
OG0004539	ADIR005697	LOC129796318
OG0004540	ADIR005711	LOC129787672
OG0004541	ADIR000448	LOC129796299
OG0004542	ADIR005698	LOC129796315
OG0004543	ADIR003017	LOC129794882
OG0004544	ADIR003222	LOC129793040
OG0004545	ADIR010077	LOC129791949
OG0004546	ADIR003315	LOC129796980, LOC129796979
OG0004547	ADIR010075	LOC129794893
OG0004548	ADIR010076	LOC129794813
OG0004549	ADIR003232	LOC129796616
OG0004550	ADIR010070	LOC129797172
OG0004551	ADIR003018	LOC129792560
OG0004552	ADIR003326	LOC129786262
OG0004553	ADIR005483	LOC129785999
OG0004554	ADIR006598	LOC129788910
OG0004555	ADIR006603	LOC129788916
OG0004556	ADIR000374	LOC129794651
OG0004557	ADIR001365	LOC129788800
OG0004558	ADIR000375	LOC129794662
OG0004559	ADIR001364	LOC129793685
OG0004560	ADIR001767	LOC129795598
OG0004561	ADIR008627	LOC129797615
OG0004562	ADIR001759	LOC129797323
OG0004563	ADIR001775	LOC129797644
OG0004564	ADIR001770	LOC129796609
OG0004565	ADIR001774	LOC129797578
OG0004566	ADIR001760	LOC129797321
OG0004567	ADIR001772	LOC129797451
OG0004568	ADIR001765	LOC129790944
OG0004569	ADIR001682	LOC129797528
OG0004570	ADIR006444	LOC129785853
OG0004572	ADIR006447	LOC129796927
OG0004574	ADIR005944	LOC129788477
OG0004575	ADIR010569	LOC129796936
OG0004576	ADIR006446	LOC129796925
OG0004578	ADIR006445	LOC129785880
OG0004579	ADIR006071	LOC129790198
OG0004580	ADIR006078	LOC129792729
OG0004581	ADIR006079	LOC129793056
OG0004582	ADIR006074	LOC129792763
OG0004583	ADIR006072	LOC129791294
OG0004584	ADIR006077	LOC129792857
OG0004585	ADIR006068	LOC129790289
OG0004586	ADIR004843	LOC129793183
OG0004587	ADIR006821	LOC129788838
OG0004588	ADIR006822	LOC129791440
OG0004589	ADIR006826	LOC129791167
OG0004591	ADIR004844	LOC129786206
OG0004592	ADIR004845	LOC129786207
OG0004593	ADIR006823	LOC129788325
OG0004594	ADIR006277	LOC129790548
OG0004595	ADIR002850	LOC129795422
OG0004596	ADIR002853	LOC129789550
OG0004597	ADIR002855	LOC129788024
OG0004598	ADIR002849	LOC129787712
OG0004599	ADIR002858	LOC129787393
OG0004600	ADIR002860	LOC129789551
OG0004601	ADIR002410	LOC129791921
OG0004602	ADIR002852	LOC129789541
OG0004603	ADIR002857	LOC129796244
OG0004604	ADIR002847	LOC129786203
OG0004605	ADIR007607	LOC129796469
OG0004606	ADIR007623	LOC129792372
OG0004607	ADIR007616	LOC129792373
OG0004608	ADIR002618	LOC129797256
OG0004609	ADIR010641	LOC129789329
OG0004610	ADIR002971	LOC129797243
OG0004611	ADIR008296	LOC129797084
OG0004612	ADIR003707	LOC129793335
OG0004613	ADIR011593	LOC129795592
OG0004614	ADIR000319	LOC129796492
OG0004615	ADIR005748	LOC129796477
OG0004616	ADIR011594	LOC129795476
OG0004617	ADIR005751	LOC129796490
OG0004618	ADIR007467	LOC129791977
OG0004619	ADIR001574	LOC129791202
OG0004620	ADIR002844	LOC129786153
OG0004621	ADIR003110	LOC129795881
OG0004622	ADIR002846	LOC129789336
OG0004623	ADIR000655	LOC129789726
OG0004624	ADIR004681	LOC129791280
OG0004626	ADIR004687	LOC129789859
OG0004627	ADIR010863	LOC129792200
OG0004628	ADIR000654	LOC129789258
OG0004629	ADIR004684	LOC129789902
OG0004630	ADIR010858	LOC129789992
OG0004631	ADIR004688	LOC129789893
OG0004632	ADIR010930	LOC129787406
OG0004633	ADIR010859	LOC129793938
OG0004634	ADIR011104	LOC129791084
OG0004635	ADIR011096	LOC129790718
OG0004636	ADIR011103	LOC129791085
OG0004637	ADIR005177	LOC129790020
OG0004638	ADIR004765	LOC129786020
OG0004639	ADIR009279	LOC129791172
OG0004640	ADIR004899	LOC129794125
OG0004641	ADIR011106	LOC129791083
OG0004642	ADIR008853	LOC129792713
OG0004643	ADIR001904	LOC129786577
OG0004644	ADIR000363	LOC129794663
OG0004646	ADIR006862	LOC129791542
OG0004647	ADIR003697	LOC129794102
OG0004648	ADIR014587	LOC129791541
OG0004649	ADIR006864	LOC129792018
OG0004650	ADIR003698	LOC129791460
OG0004651	ADIR003600	LOC129793012
OG0004652	ADIR003598	LOC129793011
OG0004653	ADIR008563	LOC129792171
OG0004654	ADIR008562	LOC129792170
OG0004655	ADIR006860	LOC129791540
OG0004656	ADIR007381	LOC129793055
OG0004659	ADIR004426	LOC129786511
OG0004660	ADIR004429	LOC129790188
OG0004661	ADIR003279	LOC129797822
OG0004662	ADIR004274	LOC129793114
OG0004663	ADIR004279	LOC129793109
OG0004664	ADIR004278	LOC129793110
OG0004665	ADIR006925	LOC129791614
OG0004667	ADIR004283	LOC129791995
OG0004668	ADIR006923	LOC129791583
OG0004669	ADIR009324	LOC129790835
OG0004670	ADIR004020	LOC129791828
OG0004671	ADIR009330	LOC129789008
OG0004672	ADIR005686	LOC129794976
OG0004674	ADIR009405	LOC129792350
OG0004675	ADIR010849	LOC129793157
OG0004676	ADIR010904	LOC129791423
OG0004677	ADIR010847	LOC129791331
OG0004678	ADIR006335	LOC129790664
OG0004679	ADIR009404	LOC129792369
OG0004680	ADIR009427	LOC129788810
OG0004681	ADIR010848	LOC129793223
OG0004682	ADIR006332	LOC129790732, LOC129794647
OG0004683	ADIR010851	LOC129793985
OG0004684	ADIR010903	LOC129791417
OG0004685	ADIR010843	LOC129788808
OG0004686	ADIR005003	LOC129791434
OG0004687	ADIR009358	LOC129793213
OG0004688	ADIR006148	LOC129790131
OG0004689	ADIR005983	LOC129789105
OG0004690	ADIR011160	LOC129788188
OG0004691	ADIR011328	LOC129790474
OG0004692	ADIR000589	LOC129788189
OG0004693	ADIR011159	LOC129787311
OG0004694	ADIR005928	LOC129788695
OG0004695	ADIR000590	LOC129791892
OG0004696	ADIR005985	LOC129788650
OG0004697	ADIR009769	LOC129796612
OG0004698	ADIR006146	LOC129790130
OG0004699	ADIR006150, ADIR011454	LOC129794095
OG0004700	ADIR002989	LOC129787815
OG0004701	ADIR009086	LOC129786498
OG0004702	ADIR009092	LOC129794975
OG0004703	ADIR002984	LOC129787832
OG0004704	ADIR009093	LOC129786746
OG0004705	ADIR004504	LOC129792071
OG0004706	ADIR009099	LOC129790276
OG0004707	ADIR004505	LOC129788190
OG0004708	ADIR009098	LOC129786667
OG0004709	ADIR006422	LOC129787774
OG0004710	ADIR006421	LOC129796324
OG0004711	ADIR003756	LOC129792493
OG0004712	ADIR003652	LOC129788354
OG0004713	ADIR009762	LOC129794795
OG0004714	ADIR005769	LOC129796500
OG0004715	ADIR002130	LOC129796591
OG0004716	ADIR009765	LOC129795042
OG0004717	ADIR009760	LOC129794978
OG0004718	ADIR009764	LOC129795106
OG0004719	ADIR003757	LOC129792500
OG0004720	ADIR006705	LOC129797266
OG0004721	ADIR006702	LOC129786015
OG0004722	ADIR004945	LOC129790585
OG0004723	ADIR007130	LOC129793692
OG0004724	ADIR007134	LOC129793476
OG0004725	ADIR007765	LOC129788168
OG0004726	ADIR007135	LOC129793472
OG0004727	ADIR007773	LOC129789909
OG0004728	ADIR007768	LOC129792141
OG0004729	ADIR007772	LOC129793650
OG0004730	ADIR007775	LOC129792663
OG0004731	ADIR007780	LOC129792245
OG0004732	ADIR007142	LOC129792238
OG0004733	ADIR007145	LOC129794194
OG0004734	ADIR007132	LOC129793264
OG0004735	ADIR015673	LOC129797499
OG0004736	ADIR006542	LOC129797509
OG0004737	ADIR015895	LOC129797738
OG0004738	ADIR008376	LOC129793454
OG0004739	ADIR006544	LOC129797603
OG0004740	ADIR006537	LOC129797723
OG0004741	ADIR006543	LOC129797511
OG0004742	ADIR015894	LOC129793470
OG0004743	ADIR015896	LOC129797692
OG0004745	ADIR005198	LOC129789525
OG0004746	ADIR008752	LOC129793386
OG0004747	ADIR001010	LOC129788733
OG0004748	ADIR008747	LOC129793373
OG0004749	ADIR001279	LOC129790184
OG0004750	ADIR005332	LOC129788559
OG0004751	ADIR009290	LOC129788381
OG0004752	ADIR000202	LOC129793619
OG0004753	ADIR009177	LOC129791080
OG0004754	ADIR001872	LOC129797482
OG0004755	ADIR000400	LOC129796063
OG0004756	ADIR009433	LOC129790010
OG0004757	ADIR006986	LOC129794134
OG0004758	ADIR006987	LOC129794192
OG0004759	ADIR006992	LOC129794191
OG0004760	ADIR006994	LOC129786738
OG0004761	ADIR009428	LOC129790003
OG0004762	ADIR006795	LOC129789855
OG0004763	ADIR009434	LOC129790008
OG0004764	ADIR008531	LOC129791014
OG0004765	ADIR010718	LOC129795203, LOC129795323
OG0004766	ADIR004996	LOC129788461
OG0004767	ADIR010715	LOC129795306
OG0004768	ADIR008527	LOC129790852
OG0004769	ADIR011492	LOC129789896
OG0004770	ADIR006462	LOC129789574
OG0004771	ADIR011497	LOC129793152
OG0004772	ADIR011500	LOC129786559
OG0004773	ADIR011490	LOC129789837
OG0004774	ADIR005385	LOC129786999
OG0004775	ADIR003388	LOC129797096
OG0004777	ADIR005389	LOC129787757
OG0004778	ADIR002914	LOC129788129
OG0004779	ADIR008896	LOC129786216
OG0004780	ADIR005426	LOC129793721
OG0004781	ADIR002912	LOC129787953
OG0004782	ADIR005383	LOC129797857
OG0004783	ADIR001324	LOC129788965
OG0004785	ADIR001222	LOC129790685
OG0004786	ADIR001224	LOC129790661
OG0004787	ADIR004836	LOC129791057
OG0004788	ADIR000760	LOC129792406
OG0004789	ADIR004013	LOC129797798
OG0004790	ADIR004016	LOC129789304
OG0004791	ADIR004833	LOC129789260
OG0004792	ADIR004834	LOC129791537
OG0004793	ADIR004012	LOC129797470
OG0004794	ADIR004837	LOC129791058
OG0004795	ADIR000011	LOC129795122
OG0004796	ADIR000009	LOC129795120
OG0004797	ADIR002159	LOC129795194
OG0004798	ADIR000010	LOC129795121
OG0004799	ADIR011546	LOC129786573
OG0004800	ADIR009476	LOC129791953
OG0004801	ADIR002160	LOC129796130
OG0004802	ADIR002155	LOC129796699
OG0004803	ADIR002154	LOC129795905
OG0004804	ADIR010107	LOC129786279
OG0004805	ADIR016107	LOC129797301
OG0004806	ADIR009671	LOC129787169
OG0004807	ADIR008997	LOC129790301
OG0004808	ADIR009000	LOC129790369
OG0004809	ADIR009027	LOC129787165
OG0004810	ADIR005209	LOC129792941
OG0004811	ADIR001296	LOC129792623
OG0004812	ADIR001211	LOC129788671
OG0004814	ADIR011291	LOC129789392
OG0004815	ADIR006529	LOC129797492
OG0004816	ADIR009565	LOC129796599
OG0004817	ADIR003072	LOC129795627
OG0004818	ADIR009564	LOC129796592
OG0004819	ADIR009572	LOC129796036
OG0004820	ADIR009566	LOC129795410
OG0004821	ADIR000430	LOC129787432
OG0004823	ADIR008957	LOC129794637
OG0004825	ADIR009979	LOC129796996
OG0004826	ADIR010022	LOC129796374
OG0004827	ADIR010023	LOC129796886
OG0004828	ADIR001097	LOC129790538
OG0004829	ADIR002861	LOC129790630
OG0004830	ADIR003208	LOC129788969
OG0004831	ADIR009264	LOC129788669
OG0004832	ADIR011185	LOC129793727
OG0004833	ADIR000575	LOC129789731
OG0004834	ADIR011183	LOC129789665
OG0004835	ADIR000578	LOC129789678
OG0004836	ADIR000576	LOC129789707
OG0004837	ADIR000579	LOC129790313
OG0004838	ADIR011188	LOC129790605
OG0004839	ADIR011184	LOC129789770
OG0004840	ADIR004265	LOC129793954
OG0004841	ADIR010294	LOC129793419
OG0004842	ADIR010299	LOC129787558
OG0004843	ADIR010295	LOC129792215
OG0004844	ADIR011296	LOC129788864
OG0004845	ADIR011284	LOC129791131
OG0004846	ADIR010296	LOC129792311
OG0004847	ADIR010298	LOC129797446
OG0004848	ADIR010297	LOC129797749
OG0004849	ADIR003473	LOC129794935
OG0004850	ADIR003106	LOC129796077
OG0004851	ADIR001778	LOC129791404
OG0004852	ADIR001082	LOC129788943
OG0004853	ADIR010919	LOC129790193
OG0004854	ADIR010915	LOC129789901
OG0004855	ADIR010920	LOC129790290
OG0004856	ADIR010918	LOC129790287
OG0004857	ADIR010921	LOC129788952
OG0004858	ADIR009691	LOC129792206
OG0004859	ADIR005111	LOC129789870
OG0004860	ADIR010923	LOC129794025
OG0004861	ADIR010917	LOC129788144
OG0004862	ADIR010908	LOC129789824
OG0004863	ADIR010913	LOC129789874
OG0004864	ADIR010300	LOC129787609
OG0004865	ADIR010305	LOC129787559
OG0004866	ADIR010302	LOC129787594
OG0004867	ADIR010301	LOC129787636
OG0004868	ADIR004585	LOC129797137
OG0004869	ADIR001106	LOC129786985
OG0004870	ADIR006653	LOC129786423
OG0004871	ADIR006592	LOC129797730
OG0004872	ADIR006594	LOC129797494
OG0004873	ADIR003444	LOC129786834
OG0004874	ADIR006652	LOC129786416
OG0004875	ADIR003443	LOC129786480
OG0004876	ADIR016081	LOC129789075
OG0004877	ADIR003959	LOC129789055
OG0004878	ADIR005206	LOC129789313
OG0004879	ADIR008814	LOC129789453
OG0004880	ADIR005207	LOC129789438
OG0004881	ADIR003958	LOC129789044
OG0004882	ADIR000847	LOC129789314
OG0004883	ADIR001517	LOC129786686
OG0004884	ADIR000979	LOC129791196
OG0004885	ADIR005264	LOC129787496
OG0004886	ADIR011708	LOC129797375
OG0004887	ADIR005232	LOC129787554
OG0004888	ADIR002059	LOC129795647
OG0004889	ADIR005266	LOC129797422
OG0004890	ADIR000226	LOC129795409
OG0004891	ADIR006979	LOC129793646
OG0004892	ADIR007186	LOC129787516
OG0004893	ADIR006975	LOC129793639
OG0004895	ADIR003527	LOC129795371
OG0004896	ADIR003536	LOC129795751
OG0004897	ADIR003534	LOC129794114
OG0004898	ADIR003532	LOC129796347
OG0004899	ADIR005508	LOC129786916
OG0004900	ADIR003537	LOC129793255
OG0004901	ADIR010656	LOC129790918
OG0004903	ADIR002502	LOC129786435
OG0004905	ADIR008475	LOC129793222
OG0004906	ADIR002825	LOC129795475
OG0004907	ADIR008476	LOC129793231
OG0004908	ADIR008377	LOC129786388
OG0004909	ADIR008378	LOC129786378
OG0004910	ADIR003433	LOC129797358
OG0004911	ADIR003429	LOC129787956
OG0004912	ADIR003432	LOC129787995
OG0004913	ADIR000300	LOC129795591
OG0004914	ADIR011261	LOC129792001
OG0004915	ADIR007398	LOC129792990
OG0004916	ADIR007395	LOC129792958
OG0004917	ADIR007399	LOC129792974
OG0004918	ADIR007389	LOC129793516
OG0004919	ADIR005999	LOC129790459
OG0004920	ADIR006002	LOC129792931
OG0004921	ADIR005990	LOC129796866
OG0004922	ADIR006001	LOC129796239
OG0004923	ADIR005997	LOC129790654
OG0004924	ADIR001843	LOC129796399
OG0004925	ADIR010727	LOC129786642
OG0004926	ADIR009194	LOC129796226
OG0004928	ADIR000247	LOC129787645
OG0004929	ADIR005303	LOC129786392
OG0004930	ADIR005309	LOC129788501
OG0004931	ADIR005302	LOC129790057
OG0004932	ADIR005306	LOC129788201
OG0004933	ADIR016145	LOC129789229
OG0004934	ADIR005308	LOC129791939
OG0004935	ADIR005305	LOC129788202
OG0004936	ADIR003396	LOC129786661
OG0004937	ADIR003480	LOC129789209
OG0004938	ADIR003398	LOC129786286
OG0004939	ADIR002887	LOC129796509
OG0004940	ADIR003395	LOC129785842
OG0004941	ADIR003479	LOC129790579
OG0004942	ADIR003300	LOC129786745
OG0004943	ADIR006587	LOC129787050
OG0004944	ADIR006648	LOC129791399
OG0004945	ADIR002109	LOC129796227
OG0004946	ADIR002108	LOC129796205
OG0004948	ADIR002111	LOC129793412
OG0004949	ADIR000160	LOC129789125
OG0004950	ADIR005526	LOC129793513
OG0004951	ADIR000159	LOC129796247
OG0004952	ADIR002944	LOC129795181
OG0004953	ADIR002947	LOC129787290
OG0004954	ADIR010113	LOC129785860
OG0004956	ADIR003152	LOC129796944
OG0004957	ADIR003150	LOC129797507
OG0004958	ADIR010318	LOC129797120
OG0004959	ADIR008482	LOC129787664
OG0004960	ADIR008483	LOC129797404
OG0004961	ADIR002481	LOC129796968
OG0004962	ADIR003147	LOC129787099
OG0004963	ADIR003153	LOC129786041
OG0004964	ADIR010388	LOC129797173
OG0004965	ADIR002928	LOC129789733
