Orthogroup	Aalbopictus_AalbF5	AminimusMINIMUS1
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	AMIN014523
OG0000061	LOC115262216, LOC109407552	AMIN006938
OG0000061	LOC109426588	AMIN007997
OG0000061	LOC115253465, LOC109412270, LOC109397255	AMIN004599
OG0000062	LOC115259541, LOC134285567	AMIN001001, AMIN000304
OG0000063	LOC109399308, LOC109399296	AMIN002564
OG0000063	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771	AMIN003060
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	AMIN001329, AMIN001327
OG0000064	LOC109433412	AMIN003132
OG0000067	LOC109399585	AMIN015537
OG0000067	LOC109426033, LOC109426036	AMIN015982
OG0000067	LOC109426037	AMIN008926
OG0000067	LOC109410996, LOC109410901	AMIN000636
OG0000067	LOC109426035	AMIN015981
OG0000068	LOC109399209	AMIN010935
OG0000069	LOC134287966	AMIN003229
OG0000069	LOC109420427, LOC115257481, LOC115257619	AMIN010636, AMIN016115, AMIN016114, AMIN003907
OG0000071	LOC109401104	AMIN005052
OG0000071	LOC109417603, LOC109402034	AMIN000434
OG0000071	LOC109419909	AMIN005942, AMIN005941, AMIN005945
OG0000072	LOC109418556	AMIN008641
OG0000072	LOC115261630	AMIN000778
OG0000072	LOC109403768, LOC109403788	AMIN011262
OG0000073	LOC109433068	AMIN006338
OG0000073	LOC109433130	AMIN006336
OG0000074	LOC109399202, LOC109399162	AMIN007418, AMIN007419
OG0000074	LOC109399205	AMIN010517
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	AMIN009972, AMIN009971, AMIN009973
OG0000076	LOC109433173, LOC109433174	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343
OG0000077	LOC109431700	AMIN015956
OG0000077	LOC109428459	AMIN015954
OG0000077	LOC115267608, LOC115267631, LOC115267607	AMIN015955, AMIN015952
OG0000077	LOC115267620	AMIN015953
OG0000078	LOC134284552	AMIN007270
OG0000079	LOC109422640	AMIN015620
OG0000079	LOC109422560, LOC109399710	AMIN015621, AMIN016252
OG0000079	LOC109418231, LOC109428005, LOC109422721	AMIN015622
OG0000080	LOC109417818	AMIN007961, AMIN007987
OG0000080	LOC109420119, LOC109420142	AMIN008322
OG0000081	LOC115265020	AMIN010657
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	AMIN010659
OG0000081	LOC109425727	AMIN010656
OG0000082	LOC109408162	AMIN008360, AMIN008381
OG0000083	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132	AMIN000069
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858
OG0000086	LOC109402934	AMIN008148
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	AMIN000451
OG0000086	LOC109399012, LOC109622980	AMIN002615
OG0000088	LOC115257675, LOC115257694	AMIN008863
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	AMIN009049, AMIN009053
OG0000089	LOC134289926, LOC134292138	AMIN006914
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	AMIN010523
OG0000090	LOC109429051	AMIN010488
OG0000091	LOC109429227	AMIN002875
OG0000096	LOC109422254	AMIN009310
OG0000096	LOC109414298	AMIN014712
OG0000096	LOC115264212	AMIN010757
OG0000096	LOC109422250	AMIN001255
OG0000097	LOC109433277	AMIN003984, AMIN003983, AMIN003985
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	AMIN009752
OG0000101	LOC134292132, LOC134290694, LOC134289917	AMIN005711, AMIN006847
OG0000104	LOC109410832, LOC109427506, LOC109427507	AMIN001011
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698	AMIN003226
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	AMIN001146
OG0000109	LOC134288467, LOC109417980	AMIN007943
OG0000109	LOC109402397, LOC134284738	AMIN000020
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	AMIN005870
OG0000115	LOC109413498	AMIN007799
OG0000115	LOC109410773	AMIN007798
OG0000116	LOC109400294	AMIN009560
OG0000119	LOC109409689	AMIN011174
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	AMIN011175
OG0000120	LOC109402840, LOC109406119, LOC115261111	AMIN015839
OG0000120	LOC115261112	AMIN015840, AMIN015843
OG0000121	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835	AMIN007010
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	AMIN000423
OG0000128	LOC109396992	AMIN016003
OG0000128	LOC109397004	AMIN009297
OG0000128	LOC115262796	AMIN016286, AMIN016287
OG0000129	LOC109421658	AMIN002441
OG0000130	LOC109426323	AMIN000464
OG0000130	LOC109421326	AMIN009807
OG0000131	LOC109419859, LOC109420609	AMIN009597
OG0000131	LOC109420605	AMIN009593
OG0000132	LOC109397421	AMIN008147
OG0000133	LOC109425940	AMIN006896
OG0000133	LOC109433309, LOC134291485	AMIN008836, AMIN008837
OG0000134	LOC115267595, LOC109399470	AMIN010110
OG0000134	LOC115267583	AMIN010108, AMIN010109
OG0000135	LOC109411771	AMIN007092
OG0000136	LOC109418558, LOC109413120, LOC109400919	AMIN008377
OG0000136	LOC109401827, LOC109412093, LOC109404625	AMIN001881
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	AMIN011058
OG0000142	LOC109401436, LOC109423496	AMIN003855
OG0000142	LOC109423512	AMIN000952
OG0000142	LOC109423498	AMIN003784
OG0000143	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117	AMIN002682
OG0000146	LOC109406196, LOC109406203	AMIN000516
OG0000147	LOC109402061, LOC109421511, LOC109421512	AMIN016141, AMIN016134, AMIN016136, AMIN016135
OG0000148	LOC115265114	AMIN009492, AMIN009494
OG0000148	LOC109421171	AMIN009495
OG0000149	LOC109426259	AMIN011053
OG0000149	LOC109410290	AMIN016044
OG0000149	LOC109426253	AMIN016042
OG0000149	LOC109426260	AMIN016043
OG0000150	LOC115266551	AMIN011243
OG0000152	LOC109408684	AMIN007972
OG0000152	LOC115265746	AMIN009946
OG0000152	LOC109420225	AMIN009947, AMIN009948
OG0000154	LOC109421560, LOC109409214, LOC109409172	AMIN000711, AMIN006064
OG0000155	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399	AMIN015664, AMIN015665
OG0000157	LOC109421165	AMIN001668
OG0000157	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605	AMIN010663
OG0000160	LOC134290104, LOC109398789	AMIN007249, AMIN006471, AMIN007271, AMIN003417
OG0000161	LOC109400953	AMIN008303
OG0000161	LOC115263538, LOC109415748	AMIN010046
OG0000162	LOC109416740	AMIN006857
OG0000162	LOC109416738	AMIN006855
OG0000163	LOC115264896, LOC109408545, LOC109429593	AMIN001822
OG0000164	LOC134285492	AMIN004931
OG0000164	LOC109430385	AMIN004928
OG0000164	LOC134285493	AMIN004930
OG0000165	LOC115256354	AMIN004970
OG0000166	LOC109418973	AMIN007525
OG0000171	LOC134289646	AMIN004244
OG0000172	LOC109414400	AMIN008835
OG0000172	LOC109410572	AMIN008838
OG0000172	LOC109421132	AMIN008827
OG0000174	LOC115256529	AMIN015909
OG0000176	LOC134286515, LOC115266728	AMIN006492
OG0000176	LOC134285293	AMIN006477
OG0000177	LOC134290798, LOC134286013, LOC134290370, LOC134288828, LOC134290160, LOC134286700, LOC134286040, LOC134288230, LOC134286638, LOC134292167, LOC134290792, LOC134286268, LOC134284034, LOC134285974, LOC134290636, LOC134289514, LOC115267934, LOC134288898, LOC134286102, LOC134291621, LOC134290175, LOC134290281, LOC115258859, LOC115261646, LOC134290853, LOC115257337	AMIN001287, AMIN010056, AMIN004550, AMIN011665, AMIN006441
OG0000180	LOC109421192, LOC115265814, LOC109432470, LOC109421186, LOC109421214, LOC109432431, LOC109421189	AMIN009804
OG0000181	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750	AMIN014770, AMIN009918, AMIN009916, AMIN009915
OG0000182	LOC115259581	AMIN004725
OG0000182	LOC115253802, LOC109400865	AMIN016128
OG0000182	LOC109429307	AMIN016130
OG0000183	LOC115256357, LOC109407271, LOC109402674, LOC109405890	AMIN002688, AMIN003141
OG0000184	LOC109411770, LOC109416825	AMIN001894
OG0000184	LOC109411788	AMIN015554, AMIN001896, AMIN015555
OG0000185	LOC109401553, LOC109402898, LOC109420356	AMIN008694
OG0000185	LOC109419367	AMIN011065
OG0000187	LOC109415488	AMIN000726
OG0000188	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254	AMIN011638
OG0000189	LOC109398456	AMIN004715
OG0000189	LOC115264694, LOC115264672, LOC115266712	AMIN003400
OG0000190	LOC134287929	AMIN009845
OG0000190	LOC109429277	AMIN005982
OG0000190	LOC109420894	AMIN001539
OG0000191	LOC109425624, LOC115269665	AMIN010963, AMIN010962, AMIN010961, AMIN010960
OG0000192	LOC115268599	AMIN009154
OG0000192	LOC109407097	AMIN003113
OG0000192	LOC109424591	AMIN016221
OG0000193	LOC109418366, LOC109426146, LOC109426147, LOC109417593	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	LOC115268005	AMIN001917
OG0000196	LOC109417644, LOC109410244, LOC115255412, LOC115255411	AMIN001000
OG0000200	LOC109415401	AMIN008384
OG0000200	LOC109410678	AMIN008385
OG0000200	LOC115263783	AMIN004606
OG0000201	LOC115269915, LOC115270394	AMIN011329
OG0000202	LOC109421839, LOC109421838	AMIN005629
OG0000204	LOC109425685, LOC109422978	AMIN015947
OG0000204	LOC109422968	AMIN015946
OG0000204	LOC109422959	AMIN015945
OG0000205	LOC109397149	AMIN004379
OG0000206	LOC109429344, LOC109428387, LOC109420951	AMIN015995
OG0000206	LOC109414302	AMIN009119
OG0000207	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626	AMIN016067, AMIN016068
OG0000210	LOC109402346	AMIN008980, AMIN008979
OG0000211	LOC115260807, LOC115254284, LOC134286007, LOC115265175, LOC115256717, LOC109419777, LOC109408040, LOC109431828, LOC134291233, LOC109415638, LOC134290775, LOC115267034, LOC134286366, LOC109407466, LOC109429518, LOC134290898, LOC134284394, LOC134288112, LOC134284766, LOC134289796, LOC134288528	AMIN009162
OG0000217	LOC109419237	AMIN000805
OG0000217	LOC109431380	AMIN001961
OG0000218	LOC109421462	AMIN006218
OG0000218	LOC109421387	AMIN006220
OG0000219	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992	AMIN001093
OG0000220	LOC109622226, LOC109623014	AMIN002726
OG0000221	LOC109410283, LOC109410284	AMIN006274
OG0000221	LOC109430808, LOC134283951, LOC109424170	AMIN010066
OG0000222	LOC109431412	AMIN001686
OG0000223	LOC109422010	AMIN002292
OG0000224	LOC109414163	AMIN003074, AMIN003071
OG0000225	LOC109405426, LOC115257288	AMIN003771
OG0000226	LOC115267924	AMIN002722, AMIN002711, AMIN002712, AMIN002715
OG0000229	LOC115261304, LOC109433437	AMIN000391
OG0000229	LOC109433439	AMIN003127, AMIN003317
OG0000230	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717	AMIN009075, AMIN009077
OG0000231	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485	AMIN010930, AMIN010931
OG0000232	LOC115270106, LOC109404909	AMIN010173, AMIN010175, AMIN016211, AMIN016210
OG0000233	LOC109420036, LOC109420035	AMIN002286
OG0000233	LOC109418229	AMIN002275
OG0000234	LOC109425149	AMIN006393
OG0000234	LOC109429432	AMIN006400
OG0000234	LOC109425152	AMIN006394
OG0000236	LOC109621447	AMIN002269, AMIN002270, AMIN008944
OG0000237	LOC134287958	AMIN000894
OG0000244	LOC109418168	AMIN009457
OG0000244	LOC109419321	AMIN009466
OG0000245	LOC109622453, LOC134285569	AMIN000228
OG0000246	LOC109413319	AMIN004180, AMIN004771
OG0000247	LOC109426621, LOC109426620	AMIN010670, AMIN010671
OG0000247	LOC115265701	AMIN010668
OG0000248	LOC115255070, LOC109417081, LOC109420539	AMIN005906
OG0000248	LOC134289022, LOC109420537	AMIN016193
OG0000248	LOC115255069	AMIN016192
OG0000249	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243	AMIN011428, AMIN007370
OG0000250	LOC109427354	AMIN003364
OG0000251	LOC109425991, LOC115268065	AMIN004378
OG0000252	LOC109621456, LOC109621460, LOC115267995	AMIN008785
OG0000253	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289	AMIN003457
OG0000254	LOC109399873	AMIN000082
OG0000254	LOC109399939	AMIN000940
OG0000255	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777	AMIN016175, AMIN016174
OG0000256	LOC115261575, LOC109405995	AMIN000776, AMIN000777, AMIN000775
