Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409
OG0000049	AAEL002595	ASTEI20_044950
OG0000049	AAEL002590	ASTEI20_037621
OG0000049	AAEL002600	ASTEI20_031880, ASTEI20_045883
OG0000049	AAEL002629	ASTEI20_039499
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	AAEL017475	ASTEI20_043416
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	ASTEI20_035536
OG0000053	AAEL010055	ASTEI20_044934, ASTEI20_043576, ASTEI20_040463, ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	AAEL019403	ASTEI20_041788, ASTEI20_036817
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403, ASTEI20_041738
OG0000058	AAEL008632	ASTEI20_035290
OG0000058	AAEL026976, AAEL008624	ASTEI20_043943, ASTEI20_042767
OG0000058	AAEL008625	ASTEI20_037097
OG0000058	AAEL008628	ASTEI20_045123
OG0000059	AAEL022646	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754
OG0000059	AAEL002360	ASTEI20_037464, ASTEI20_043703
OG0000059	AAEL002347, AAEL024934	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	ASTEI20_037656
