Orthogroup	LlongipalpisASM	AaegyptiLVP_AGWG
OG0000134	LOC129792867	AAEL019678, AAEL005113, AAEL023844, AAEL005123, AAEL019679
OG0000135	LOC129786134	AAEL023962, AAEL029067, AAEL006011
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	AAEL013227, AAEL013233, AAEL021425, AAEL006287, AAEL013692, AAEL008098, AAEL007698
OG0000142	LOC129792316, LOC129793845	AAEL002426, AAEL002432
OG0000142	LOC129797567	AAEL002408
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816
OG0000146	LOC129797766, LOC129797769, LOC129797768	AAEL007592, AAEL015137, AAEL001654, AAEL001650, AAEL001634, AAEL007591
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	LOC129796639	AAEL017451
OG0000148	LOC129790546	AAEL002676
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	AAEL003497
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	AAEL004025
OG0000152	LOC129794238	AAEL011180
OG0000152	LOC129787698	AAEL005259
OG0000154	LOC129791038	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000157	LOC129793002	AAEL026898, AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392
OG0000160	LOC129797691, LOC129797713, LOC129786217	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	LOC129788698	AAEL006159
OG0000161	LOC129790631	AAEL004798, AAEL002467
OG0000162	LOC129792306	AAEL007604, AAEL002617, AAEL002606, AAEL002587
OG0000163	LOC129793077, LOC129787054, LOC129793078	AAEL004507, AAEL022219, AAEL004486
OG0000164	LOC129788007	AAEL007511
OG0000164	LOC129786795	AAEL026347, AAEL014567, AAEL007514
OG0000165	LOC129785838	AAEL008017, AAEL025214, AAEL008018
OG0000166	LOC129793375, LOC129794220, LOC129793372	AAEL013556, AAEL013554, AAEL014830, AAEL014019
OG0000168	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913	AAEL022694, AAEL023789, AAEL026755
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	AAEL027547, AAEL017192, AAEL023653, AAEL005134
OG0000172	LOC129796083	AAEL026737, AAEL020253, AAEL011332
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	AAEL011550, AAEL011547, AAEL011555, AAEL014515
OG0000174	LOC129785929	AAEL029106, AAEL029105, AAEL029047, AAEL029038, AAEL029046, AAEL029041, AAEL029044, AAEL029104
OG0000183	LOC129786975, LOC129786974	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	LOC129794345	AAEL005999, AAEL006003, AAEL006005
OG0000187	LOC129796892	AAEL000035
OG0000188	LOC129786978	AAEL017003, AAEL003253, AAEL003243
OG0000189	LOC129787889	AAEL003743
OG0000189	LOC129787087	AAEL006390, AAEL014053
OG0000190	LOC129790672	AAEL024092, AAEL020855
OG0000190	LOC129789849	AAEL023141, AAEL003982
OG0000192	LOC129789885	AAEL018352
OG0000192	LOC129791401	AAEL008055
OG0000192	LOC129789886	AAEL007664
OG0000193	LOC129791916, LOC129788591, LOC129786638	AAEL018151, AAEL008595
OG0000194	LOC129795950	AAEL009207, AAEL009204, AAEL022256, AAEL009193, AAEL009203
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	AAEL014662, AAEL011677, AAEL019722
OG0000200	LOC129796145	AAEL019407
OG0000200	LOC129786068	AAEL000536, AAEL000123
OG0000201	LOC129792426, LOC129792425, LOC129792423	AAEL001839, AAEL020195, AAEL001844, AAEL001840
OG0000202	LOC129795977	AAEL012457, AAEL012455, AAEL003617, AAEL026142, AAEL011356
OG0000204	LOC129790266	AAEL014078, AAEL005665, AAEL014079
OG0000206	LOC129791163	AAEL009935, AAEL009945, AAEL009938
OG0000206	LOC129791164	AAEL006668
OG0000207	LOC129791699	AAEL027951, AAEL026297, AAEL007619
