Orthogroup	AsinensisChina	LlongipalpisASM
OG0003967	ASIC006504	LOC129789611
OG0003968	ASIC017572	LOC129789607
OG0003969	ASIC017565	LOC129790258
OG0003970	ASIC017569	LOC129790333
OG0003971	ASIC017579	LOC129791335
OG0003972	ASIC017563	LOC129788845
OG0003973	ASIC017570	LOC129790217
OG0003974	ASIC016246	LOC129787204
OG0003975	ASIC016189	LOC129788446
OG0003976	ASIC014181	LOC129790693
OG0003977	ASIC016243	LOC129787191
OG0003978	ASIC004846	LOC129791324
OG0003979	ASIC016224	LOC129791327
OG0003980	ASIC016210	LOC129791346
OG0003981	ASIC016223	LOC129791359
OG0003982	ASIC015874	LOC129790913
OG0003983	ASIC015848	LOC129791117
OG0003984	ASIC015772	LOC129788644
OG0003985	ASIC015872	LOC129788963
OG0003986	ASIC015770	LOC129788643
OG0003987	ASIC015774	LOC129788649
OG0003988	ASIC015756	LOC129789099
OG0003989	ASIC015761	LOC129788953
OG0003991	ASIC015863	LOC129789073
OG0003992	ASIC015850	LOC129788930
OG0003993	ASIC015759	LOC129788948
OG0003994	ASIC016767	LOC129792853
OG0003995	ASIC016793	LOC129791591
OG0003996	ASIC002990	LOC129791555
OG0003997	ASIC014908	LOC129793909
OG0003998	ASIC016799	LOC129792810
OG0003999	ASIC007873	LOC129791628
OG0004000	ASIC003016	LOC129792852
OG0004001	ASIC008123	LOC129795953
OG0004004	ASIC007876	LOC129792756
OG0004005	ASIC006988	LOC129790717
OG0004006	ASIC006990	LOC129788561
OG0004007	ASIC006930	LOC129797290
OG0004008	ASIC006986	LOC129790244
OG0004010	ASIC006960	LOC129795651
OG0004011	ASIC005735	LOC129793137
OG0004013	ASIC006961	LOC129789860
OG0004014	ASIC006966	LOC129794928
OG0004015	ASIC006991	LOC129791936
OG0004016	ASIC006931	LOC129794062
OG0004017	ASIC006511	LOC129789608
OG0004018	ASIC006903	LOC129791373
OG0004019	ASIC006973	LOC129791069
OG0004020	ASIC006510	LOC129789560
OG0004021	ASIC003965	LOC129788757
OG0004022	ASIC006859	LOC129791344
OG0004023	ASIC003964	LOC129793890
OG0004024	ASIC003967	LOC129788786
OG0004025	ASIC006508	LOC129789659
OG0004026	ASIC016673	LOC129793806
OG0004027	ASIC019971	LOC129787189
OG0004029	ASIC011353	LOC129797314
OG0004030	ASIC019970	LOC129797031
OG0004031	ASIC011332	LOC129794107
OG0004032	ASIC011360	LOC129797002
OG0004033	ASIC011369	LOC129789389
OG0004034	ASIC011368	LOC129795810
OG0004035	ASIC019988	LOC129788701
OG0004036	ASIC011356	LOC129796991
OG0004037	ASIC011336	LOC129797342
OG0004038	ASIC019975	LOC129789689
OG0004040	ASIC005942	LOC129797480
OG0004041	ASIC009666	LOC129790923
OG0004042	ASIC020419	LOC129788903
OG0004043	ASIC007628	LOC129787601
OG0004044	ASIC009669	LOC129796836
OG0004045	ASIC005542	LOC129786938
OG0004046	ASIC009872	LOC129797519
OG0004047	ASIC006106	LOC129789441
OG0004048	ASIC006091	LOC129789251
OG0004049	ASIC006074	LOC129795507
OG0004050	ASIC006104	LOC129791140
OG0004051	ASIC012114	LOC129791405
OG0004052	ASIC006077	LOC129796508
OG0004053	ASIC006107	LOC129789977
OG0004054	ASIC006095	LOC129789323
OG0004055	ASIC012113	LOC129791400
OG0004056	ASIC006076	LOC129791383
OG0004057	ASIC006118	LOC129790171
OG0004058	ASIC006105	LOC129790205
OG0004059	ASIC006100	LOC129791353
OG0004060	ASIC019930	LOC129794040
OG0004062	ASIC015188	LOC129793092
OG0004063	ASIC008483	LOC129797378
OG0004064	ASIC020651	LOC129797381
OG0004065	ASIC020652	LOC129797382
OG0004066	ASIC018196	LOC129797360
OG0004067	ASIC008482	LOC129794962
OG0004068	ASIC018200	LOC129797418
OG0004069	ASIC020647	LOC129797385
OG0004070	ASIC020653	LOC129797383
OG0004071	ASIC017995	LOC129793473
OG0004072	ASIC020341	LOC129786265
OG0004073	ASIC011767	LOC129793517
OG0004074	ASIC020333	LOC129793790
OG0004075	ASIC011769	LOC129793551
OG0004076	ASIC020325	LOC129793728
OG0004077	ASIC011765	LOC129793366
OG0004080	ASIC020322	LOC129793748
OG0004081	ASIC015088	LOC129792519
OG0004082	ASIC008595	LOC129789612
OG0004083	ASIC017174	LOC129797517
OG0004084	ASIC018464	LOC129796233
OG0004085	ASIC008612	LOC129794263
OG0004086	ASIC008496	LOC129790936
OG0004087	ASIC011069	LOC129793865
OG0004088	ASIC008611	LOC129792744
OG0004089	ASIC006586	LOC129789664
OG0004090	ASIC008597	LOC129791297
OG0004091	ASIC018458	LOC129791788
OG0004092	ASIC018467	LOC129791856
OG0004094	ASIC021033	LOC129789582
OG0004095	ASIC004903	LOC129797666
OG0004098	ASIC004902	LOC129797363
OG0004099	ASIC014685	LOC129788140
OG0004100	ASIC021035	LOC129786223
OG0004101	ASIC001580	LOC129787313, LOC129794807
OG0004102	ASIC013928	LOC129791463
OG0004103	ASIC009542	LOC129790359
OG0004104	ASIC013802	LOC129797283
OG0004105	ASIC021817	LOC129793615
OG0004106	ASIC021835	LOC129797365
OG0004107	ASIC021032	LOC129787759
OG0004108	ASIC018747	LOC129792569
OG0004109	ASIC011262	LOC129796125
OG0004110	ASIC011261	LOC129796085
OG0004111	ASIC007871	LOC129793392
OG0004112	ASIC011263	LOC129796076
OG0004113	ASIC011718	LOC129794209
OG0004114	ASIC003972	LOC129790317
OG0004115	ASIC017127	LOC129790948
OG0004116	ASIC007618	LOC129789497
OG0004117	ASIC010500	LOC129789654
OG0004118	ASIC016681	LOC129790356
OG0004119	ASIC003499	LOC129790049
OG0004120	ASIC010037	LOC129785895
OG0004121	ASIC010036	LOC129795193
OG0004122	ASIC010025	LOC129797621
OG0004123	ASIC003501	LOC129797591
OG0004124	ASIC021587	LOC129787947
OG0004125	ASIC013407	LOC129787646
OG0004126	ASIC021579	LOC129787978
OG0004127	ASIC010032	LOC129797572
OG0004128	ASIC010026	LOC129797439
OG0004129	ASIC003500	LOC129797504
OG0004130	ASIC013402	LOC129793812
OG0004131	ASIC003497	LOC129789012
OG0004132	ASIC010929	LOC129797550
OG0004133	ASIC013386	LOC129793286
OG0004134	ASIC018368	LOC129795451
OG0004136	ASIC009300	LOC129795058
OG0004137	ASIC017767	LOC129796481
OG0004138	ASIC016630	LOC129791846
OG0004140	ASIC020043	LOC129787066
OG0004141	ASIC006551	LOC129790224
OG0004143	ASIC006625	LOC129786856
OG0004144	ASIC006624	LOC129786857
OG0004145	ASIC006631	LOC129794925
OG0004146	ASIC006635	LOC129788437
OG0004147	ASIC007428	LOC129790545
OG0004148	ASIC007430	LOC129790547
OG0004149	ASIC007404	LOC129790242
OG0004150	ASIC012487	LOC129785952
OG0004151	ASIC010210	LOC129794666
OG0004152	ASIC012708	LOC129796388
OG0004153	ASIC012485	LOC129785928
OG0004154	ASIC019835	LOC129791617
OG0004155	ASIC016359	LOC129791562
OG0004156	ASIC019834	LOC129793575
OG0004158	ASIC010206	LOC129793259
OG0004159	ASIC004441	LOC129790712
OG0004160	ASIC014333	LOC129788160
OG0004161	ASIC014331	LOC129788163
OG0004162	ASIC018831	LOC129792719
OG0004163	ASIC010082	LOC129786091
OG0004165	ASIC010073	LOC129793722
OG0004166	ASIC010083	LOC129786148
OG0004168	ASIC008813	LOC129790701
OG0004169	ASIC008907	LOC129797561
OG0004170	ASIC008838	LOC129790657
OG0004171	ASIC010070	LOC129785964
OG0004172	ASIC010072	LOC129786114
OG0004173	ASIC008779	LOC129797722
OG0004174	ASIC020243	LOC129787281
OG0004175	ASIC014277	LOC129797551
OG0004176	ASIC021863	LOC129797699
OG0004177	ASIC012646	LOC129792609
OG0004178	ASIC020244	LOC129787285
OG0004179	ASIC014278	LOC129786766
OG0004180	ASIC011973	LOC129788803
OG0004181	ASIC005499	LOC129789962
OG0004182	ASIC020247	LOC129788020
OG0004183	ASIC019492	LOC129796649
OG0004184	ASIC003071	LOC129787786
OG0004185	ASIC014279	LOC129786780
OG0004186	ASIC015645	LOC129794004
OG0004187	ASIC015163	LOC129789129
OG0004188	ASIC018194	LOC129796267
OG0004190	ASIC018236	LOC129795749
OG0004191	ASIC018195	LOC129796187
OG0004192	ASIC018193	LOC129796522
OG0004193	ASIC018242	LOC129795813
OG0004194	ASIC015654	LOC129794061
OG0004195	ASIC015366	LOC129795961
OG0004196	ASIC014468	LOC129794918
OG0004197	ASIC021895	LOC129790233
OG0004198	ASIC009867	LOC129788769
OG0004199	ASIC008921	LOC129793774
OG0004200	ASIC009860	LOC129788977
OG0004201	ASIC008919	LOC129797144
OG0004202	ASIC003933	LOC129790591
OG0004203	ASIC003932	LOC129790017
OG0004204	ASIC006417	LOC129797138
OG0004205	ASIC005113	LOC129787890
OG0004206	ASIC006344	LOC129788187
OG0004207	ASIC006226	LOC129788688
OG0004209	ASIC010295	LOC129792582
OG0004210	ASIC006263	LOC129788992
OG0004211	ASIC003935	LOC129792518
OG0004212	ASIC013048	LOC129794850
OG0004213	ASIC008953	LOC129792761
OG0004214	ASIC004475	LOC129789083
OG0004215	ASIC004473	LOC129789454
OG0004216	ASIC009477	LOC129790818
OG0004217	ASIC004474	LOC129788396
OG0004218	ASIC004477	LOC129788793
OG0004219	ASIC018250	LOC129797329
OG0004220	ASIC020025	LOC129786270
OG0004221	ASIC020024	LOC129786283
OG0004222	ASIC020023	LOC129786281
OG0004223	ASIC009025	LOC129786257
OG0004224	ASIC021686	LOC129794609
OG0004225	ASIC008973	LOC129793398
OG0004226	ASIC008980	LOC129793324
OG0004227	ASIC014715	LOC129790404
OG0004228	ASIC004653	LOC129797637
OG0004229	ASIC014714	LOC129787527
OG0004230	ASIC021681	LOC129786717
OG0004231	ASIC008987	LOC129786073
OG0004232	ASIC006210	LOC129795134
OG0004233	ASIC006366	LOC129788491
OG0004234	ASIC006194	LOC129788488
OG0004236	ASIC006209	LOC129789340
OG0004237	ASIC006805	LOC129785900
OG0004238	ASIC003974	LOC129797859
OG0004239	ASIC020288	LOC129785894
OG0004240	ASIC010464	LOC129792012
OG0004241	ASIC018417	LOC129793037
OG0004242	ASIC018409	LOC129794009
OG0004243	ASIC018420	LOC129793034
OG0004244	ASIC016635	LOC129796073
OG0004245	ASIC003114	LOC129793041
OG0004247	ASIC015749	LOC129789086
OG0004248	ASIC016634	LOC129794871
OG0004249	ASIC010462	LOC129791866
OG0004250	ASIC018665	LOC129791791
OG0004251	ASIC018950	LOC129791597
OG0004252	ASIC018949	LOC129792897
OG0004253	ASIC004109	LOC129787965
OG0004254	ASIC012737	LOC129796107
OG0004255	ASIC018755	LOC129791718
OG0004256	ASIC018754	LOC129791716
OG0004257	ASIC001738	LOC129796910
OG0004258	ASIC006520	LOC129790556
OG0004259	ASIC004824	LOC129796016
OG0004260	ASIC018300	LOC129795946
OG0004261	ASIC005102	LOC129796540
OG0004262	ASIC018302	LOC129795495
OG0004263	ASIC007516	LOC129788719
OG0004264	ASIC012476	LOC129789164
OG0004265	ASIC007521	LOC129788715
OG0004266	ASIC003493	LOC129788064
OG0004267	ASIC015699	LOC129797502
OG0004268	ASIC011119	LOC129788176
OG0004269	ASIC014106	LOC129788205
OG0004271	ASIC013829	LOC129785875
OG0004272	ASIC009945	LOC129791302
OG0004273	ASIC021169	LOC129786448
OG0004274	ASIC018646	LOC129787401
OG0004275	ASIC009159	LOC129797620
OG0004276	ASIC013086	LOC129788646
OG0004277	ASIC006659	LOC129794068
OG0004278	ASIC010429	LOC129789884
OG0004279	ASIC018651	LOC129787880
OG0004280	ASIC010426	LOC129787100
OG0004281	ASIC006658	LOC129794174
OG0004282	ASIC015776	LOC129788635
OG0004283	ASIC018644	LOC129786979
OG0004284	ASIC010441	LOC129786747
OG0004285	ASIC001939	LOC129790903
OG0004286	ASIC015899	LOC129795286
OG0004287	ASIC007901	LOC129795516
OG0004288	ASIC001938	LOC129790180
OG0004289	ASIC017961	LOC129796070
OG0004290	ASIC014389	LOC129797127
OG0004291	ASIC014369	LOC129790338
OG0004292	ASIC014396	LOC129791305
OG0004293	ASIC014394	LOC129788514
OG0004294	ASIC014372	LOC129790330
OG0004295	ASIC019619	LOC129792159
OG0004298	ASIC008282	LOC129786603
OG0004299	ASIC008217	LOC129797200
OG0004300	ASIC008220	LOC129797192
OG0004301	ASIC008284	LOC129788637
OG0004302	ASIC012684	LOC129797180
OG0004303	ASIC008305	LOC129797146
OG0004304	ASIC005341	LOC129797191
OG0004305	ASIC012679	LOC129793406
OG0004306	ASIC008304	LOC129797154
OG0004307	ASIC003281	LOC129797188
OG0004308	ASIC008302	LOC129797136
OG0004309	ASIC008218	LOC129797196
OG0004311	ASIC001871	LOC129797185
OG0004312	ASIC018054	LOC129791838
OG0004313	ASIC018044	LOC129795981
OG0004314	ASIC018045	LOC129795675
OG0004315	ASIC005091	LOC129796219
OG0004316	ASIC018317	LOC129797479
OG0004317	ASIC018056	LOC129788043
OG0004318	ASIC018304	LOC129796482
OG0004319	ASIC018060	LOC129795405
OG0004320	ASIC016926	LOC129790422
OG0004321	ASIC018057	LOC129795402
OG0004322	ASIC005096	LOC129794173
OG0004324	ASIC005095	LOC129796216
OG0004325	ASIC018306	LOC129796035
OG0004326	ASIC005080	LOC129791895
OG0004327	ASIC018308	LOC129796258
OG0004328	ASIC018046	LOC129796026
OG0004330	ASIC005089	LOC129787389
OG0004331	ASIC007778	LOC129791627
OG0004332	ASIC003771	LOC129792902
OG0004333	ASIC018384	LOC129796259
OG0004335	ASIC015509	LOC129788568
OG0004336	ASIC018144	LOC129795893
OG0004337	ASIC013905	LOC129795509
OG0004338	ASIC019702	LOC129791631
OG0004339	ASIC018395	LOC129796124
OG0004341	ASIC017771	LOC129795521
OG0004342	ASIC003774	LOC129791801
OG0004343	ASIC010030	LOC129797708
OG0004344	ASIC011079	LOC129785927
OG0004345	ASIC011003	LOC129787923
OG0004346	ASIC012553	LOC129797724
OG0004347	ASIC017654	LOC129790570
OG0004348	ASIC017978	LOC129795561
OG0004349	ASIC019342	LOC129796051
OG0004350	ASIC010867	LOC129794080
OG0004351	ASIC017658	LOC129796939
OG0004352	ASIC010764	LOC129789655
OG0004353	ASIC017976	LOC129796166
OG0004354	ASIC013551	LOC129790550
OG0004355	ASIC019347	LOC129794625
OG0004356	ASIC017656	LOC129796937
OG0004357	ASIC017980	LOC129795056
OG0004358	ASIC017652	LOC129790553
OG0004359	ASIC017977	LOC129796056
OG0004360	ASIC008119	LOC129795157
OG0004361	ASIC010865	LOC129794100
OG0004362	ASIC019350	LOC129792504
OG0004363	ASIC005406	LOC129785993
OG0004365	ASIC021212	LOC129793105
OG0004366	ASIC021217	LOC129793000
OG0004367	ASIC021213	LOC129793104
OG0004368	ASIC021216	LOC129792045
OG0004369	ASIC010926	LOC129790786
OG0004371	ASIC005239	LOC129786049
OG0004372	ASIC015074	LOC129787655
OG0004373	ASIC011037	LOC129793957
OG0004374	ASIC005238	LOC129786097
OG0004375	ASIC022201	LOC129795000
OG0004376	ASIC022188	LOC129795002
OG0004377	ASIC008348	LOC129793893
OG0004378	ASIC012169	LOC129797408
OG0004379	ASIC020700	LOC129791134
OG0004380	ASIC012159	LOC129786491
OG0004381	ASIC020393	LOC129791111
OG0004382	ASIC012164	LOC129797400
OG0004383	ASIC014611	LOC129795824
OG0004385	ASIC012170	LOC129797414
OG0004386	ASIC020697	LOC129789070
OG0004387	ASIC012181	LOC129792949
OG0004388	ASIC020701	LOC129786367
OG0004389	ASIC020702	LOC129789110
OG0004390	ASIC020786	LOC129791862
OG0004391	ASIC014607	LOC129793631
OG0004392	ASIC014621	LOC129790904
OG0004393	ASIC014618	LOC129788986
OG0004394	ASIC014613	LOC129789788
OG0004395	ASIC014615	LOC129792048
OG0004396	ASIC012183	LOC129786500
OG0004397	ASIC019610	LOC129792525
OG0004398	ASIC019174	LOC129792621
OG0004399	ASIC019665	LOC129791903
OG0004400	ASIC019621	LOC129791998
OG0004401	ASIC019888	LOC129792083
OG0004402	ASIC019632	LOC129791879
OG0004403	ASIC019831	LOC129792099
OG0004404	ASIC004391	LOC129786662
OG0004405	ASIC012640	LOC129787761
OG0004408	ASIC020934	LOC129786290
OG0004409	ASIC012478	LOC129793499
OG0004410	ASIC013877	LOC129795808
OG0004412	ASIC002568	LOC129788085
OG0004414	ASIC020003	LOC129788125
OG0004415	ASIC020004	LOC129788123
OG0004417	ASIC006237	LOC129790075
OG0004418	ASIC002814	LOC129796241
OG0004419	ASIC008460	LOC129789891
OG0004420	ASIC002823	LOC129794980
OG0004421	ASIC002815	LOC129796178
OG0004423	ASIC002821	LOC129797817
OG0004424	ASIC002818	LOC129797477
OG0004425	ASIC002819	LOC129797506
OG0004426	ASIC020716	LOC129789041
OG0004427	ASIC002816	LOC129786503
OG0004428	ASIC002278	LOC129794234
OG0004429	ASIC004592	LOC129795086
OG0004430	ASIC013969	LOC129795723
OG0004431	ASIC020252	LOC129795500
OG0004432	ASIC013970	LOC129795687
OG0004433	ASIC020251	LOC129795474
OG0004434	ASIC004596	LOC129795127
OG0004435	ASIC017354	LOC129790114
OG0004436	ASIC004593	LOC129797595
OG0004437	ASIC013971	LOC129795467
OG0004438	ASIC013311	LOC129794418
OG0004440	ASIC011963	LOC129787437
OG0004441	ASIC011965	LOC129786615
OG0004442	ASIC014271	LOC129789400
OG0004443	ASIC011960	LOC129787413
OG0004444	ASIC011962	LOC129786243
OG0004445	ASIC011959	LOC129787422
OG0004446	ASIC011966	LOC129787445
OG0004447	ASIC014269	LOC129792261
OG0004448	ASIC011961	LOC129787292
OG0004449	ASIC008670	LOC129791309
OG0004450	ASIC008671	LOC129794830
OG0004451	ASIC013575	LOC129789999
OG0004452	ASIC012528	LOC129792864
OG0004453	ASIC019964	LOC129796698
OG0004454	ASIC018260	LOC129795338
OG0004455	ASIC018276	LOC129796327
OG0004456	ASIC022301	LOC129787030
OG0004458	ASIC004979	LOC129797073
OG0004459	ASIC018272	LOC129788567
OG0004460	ASIC018273	LOC129796325
OG0004461	ASIC018269	LOC129795131
OG0004462	ASIC019943	LOC129787042
OG0004463	ASIC017987	LOC129795816
OG0004464	ASIC018185	LOC129795666
OG0004465	ASIC015924	LOC129796451
OG0004466	ASIC018190	LOC129795671
OG0004467	ASIC018230	LOC129796349
OG0004468	ASIC018189	LOC129795637
OG0004469	ASIC004305	LOC129787113
OG0004470	ASIC002918	LOC129796807
OG0004472	ASIC021514	LOC129785962
OG0004473	ASIC011095	LOC129796798
OG0004474	ASIC021513	LOC129797279
OG0004475	ASIC009926	LOC129787120
OG0004476	ASIC007568	LOC129789912
OG0004477	ASIC007615	LOC129788597
OG0004478	ASIC004350	LOC129790411
OG0004479	ASIC016376	LOC129795187
OG0004480	ASIC021214	LOC129788871
OG0004481	ASIC004929	LOC129794985
OG0004482	ASIC015201	LOC129795062
OG0004484	ASIC004938	LOC129794759
OG0004485	ASIC004937	LOC129795425
OG0004486	ASIC019494	LOC129795132
OG0004487	ASIC004936	LOC129795353
OG0004488	ASIC006906	LOC129796657
OG0004489	ASIC008234	LOC129786102
OG0004490	ASIC014054	LOC129796805
OG0004492	ASIC008226	LOC129796833
OG0004493	ASIC008235	LOC129785991
OG0004494	ASIC008228	LOC129795819
OG0004495	ASIC010085	LOC129786146
OG0004496	ASIC022229	LOC129788601
OG0004497	ASIC017343	LOC129793005
OG0004498	ASIC007608	LOC129791342
OG0004499	ASIC017013	LOC129788417
OG0004500	ASIC003000	LOC129791665
OG0004501	ASIC007574	LOC129790176
OG0004502	ASIC009707	LOC129791380
OG0004503	ASIC016049	LOC129791789
OG0004504	ASIC021991	LOC129792017, LOC129792117
OG0004505	ASIC021993	LOC129792076
OG0004506	ASIC021719	LOC129786415
OG0004507	ASIC021098	LOC129786516
OG0004508	ASIC021986	LOC129790871
OG0004510	ASIC021988	LOC129797500
OG0004511	ASIC005358	LOC129786867
OG0004512	ASIC006338	LOC129789334
OG0004513	ASIC016852	LOC129790885
OG0004514	ASIC009611	LOC129790881
OG0004515	ASIC015084	LOC129786765
OG0004516	ASIC007132	LOC129786755
OG0004517	ASIC007130	LOC129790991
OG0004518	ASIC005357	LOC129786761
OG0004519	ASIC019573	LOC129791997
OG0004520	ASIC007738	LOC129791985
OG0004521	ASIC006132	LOC129786280
OG0004522	ASIC013617	LOC129791386
OG0004523	ASIC006136	LOC129786285
OG0004524	ASIC013618	LOC129796848
OG0004525	ASIC013616	LOC129791343
OG0004526	ASIC008010	LOC129795069
OG0004529	ASIC017585	LOC129791050
OG0004531	ASIC008552	LOC129787607
OG0004532	ASIC008533	LOC129794103
OG0004533	ASIC008679	LOC129794151
OG0004534	ASIC011507	LOC129794717
OG0004535	ASIC008538	LOC129794160
OG0004536	ASIC011484	LOC129794123
OG0004537	ASIC009324	LOC129794825
OG0004538	ASIC002173	LOC129790123
OG0004539	ASIC008940	LOC129796318
OG0004540	ASIC009291	LOC129787672
OG0004541	ASIC017833	LOC129796299
OG0004542	ASIC008941	LOC129796315
OG0004544	ASIC013370	LOC129793040
OG0004545	ASIC011477	LOC129791949
OG0004547	ASIC011475	LOC129794893
OG0004548	ASIC011476	LOC129794813
OG0004549	ASIC013348	LOC129796616
OG0004550	ASIC011467	LOC129797172
OG0004552	ASIC013269	LOC129786262
OG0004553	ASIC020120	LOC129785999
OG0004554	ASIC008897	LOC129788910
OG0004555	ASIC008887	LOC129788916
OG0004556	ASIC005970	LOC129794651
OG0004557	ASIC016985	LOC129788800
OG0004558	ASIC005971	LOC129794662
OG0004559	ASIC016984	LOC129793685
OG0004560	ASIC004752	LOC129795598
OG0004561	ASIC019232	LOC129797615
OG0004562	ASIC015206	LOC129797323
OG0004563	ASIC004760	LOC129797644
OG0004564	ASIC004785	LOC129796609
OG0004565	ASIC004758	LOC129797578
OG0004566	ASIC015208	LOC129797321
OG0004567	ASIC004756	LOC129797451
OG0004568	ASIC004166	LOC129790944
OG0004569	ASIC019213	LOC129797528
OG0004570	ASIC003225	LOC129785853
OG0004572	ASIC010488	LOC129796927
OG0004574	ASIC007171	LOC129788477
OG0004575	ASIC004849	LOC129796936
OG0004576	ASIC003223	LOC129796925
OG0004578	ASIC003224	LOC129785880
OG0004579	ASIC007348	LOC129790198
OG0004580	ASIC007355	LOC129792729
OG0004581	ASIC007356	LOC129793056
OG0004582	ASIC007352	LOC129792763
OG0004583	ASIC007350	LOC129791294
OG0004584	ASIC007354	LOC129792857
OG0004585	ASIC007345	LOC129790289
OG0004586	ASIC006883	LOC129793183
OG0004587	ASIC014125	LOC129788838
OG0004588	ASIC014126	LOC129791440
OG0004589	ASIC014137	LOC129791167
OG0004591	ASIC006885	LOC129786206
OG0004592	ASIC006887	LOC129786207
OG0004593	ASIC014130	LOC129788325
OG0004594	ASIC006678	LOC129790548
OG0004595	ASIC020824	LOC129795422
OG0004596	ASIC020819	LOC129789550
OG0004597	ASIC020817	LOC129788024
OG0004598	ASIC020826	LOC129787712
OG0004599	ASIC013210	LOC129787393
OG0004600	ASIC013321	LOC129789551
OG0004601	ASIC004083	LOC129791921
OG0004602	ASIC020822	LOC129789541
OG0004603	ASIC013211	LOC129796244
OG0004604	ASIC020830	LOC129786203
OG0004605	ASIC019909	LOC129796469
OG0004606	ASIC017424	LOC129792372
OG0004607	ASIC013688	LOC129792373
OG0004608	ASIC003600	LOC129797256
OG0004609	ASIC011994	LOC129789329
OG0004610	ASIC006152	LOC129797243
OG0004611	ASIC015931	LOC129797084
OG0004612	ASIC016745	LOC129793335
OG0004613	ASIC003414	LOC129795592
OG0004614	ASIC008121	LOC129796492
OG0004615	ASIC009292	LOC129796477
OG0004616	ASIC003413	LOC129795476
OG0004617	ASIC009295	LOC129796490
OG0004618	ASIC011698	LOC129791977
OG0004619	ASIC019078	LOC129791202
OG0004620	ASIC020831	LOC129786153
OG0004621	ASIC008007	LOC129795881
OG0004623	ASIC014165	LOC129789726
OG0004624	ASIC006469	LOC129791280
OG0004626	ASIC006484	LOC129789859
OG0004627	ASIC009095	LOC129792200
OG0004628	ASIC014166	LOC129789258
OG0004629	ASIC006477	LOC129789902
OG0004630	ASIC004888	LOC129789992
OG0004631	ASIC006486	LOC129789893
OG0004632	ASIC017272	LOC129787406
OG0004633	ASIC004889	LOC129793938
OG0004634	ASIC013555	LOC129791084
OG0004635	ASIC013623	LOC129790718
OG0004636	ASIC013554	LOC129791085
OG0004637	ASIC014544	LOC129790020
OG0004638	ASIC014632	LOC129786020
OG0004639	ASIC010150	LOC129791172
OG0004640	ASIC006600	LOC129794125
OG0004641	ASIC013563	LOC129791083
OG0004642	ASIC009286	LOC129792713
OG0004643	ASIC000090	LOC129786577
OG0004644	ASIC015526	LOC129794663
OG0004646	ASIC002444	LOC129791542
OG0004647	ASIC021619	LOC129794102
OG0004648	ASIC002443	LOC129791541
OG0004649	ASIC015061	LOC129792018
OG0004650	ASIC021623	LOC129791460
OG0004651	ASIC019657	LOC129793012
OG0004652	ASIC019651	LOC129793011
OG0004653	ASIC019666	LOC129792171
OG0004654	ASIC019664	LOC129792170
OG0004655	ASIC002441	LOC129791540
OG0004656	ASIC017438	LOC129793055
OG0004659	ASIC021881	LOC129786511
OG0004660	ASIC021887	LOC129790188
OG0004661	ASIC011157	LOC129797822
OG0004662	ASIC003267	LOC129793114
OG0004663	ASIC005618	LOC129793109
OG0004664	ASIC003260	LOC129793110
OG0004665	ASIC015070	LOC129791614
OG0004667	ASIC013752	LOC129791995
OG0004668	ASIC015068	LOC129791583
OG0004669	ASIC003899	LOC129790835
OG0004670	ASIC016201	LOC129791828
OG0004672	ASIC009296	LOC129794976
OG0004674	ASIC008622	LOC129792350
OG0004675	ASIC005308	LOC129793157
OG0004676	ASIC005311	LOC129791423
OG0004677	ASIC005305	LOC129791331
OG0004678	ASIC012613	LOC129790664
OG0004679	ASIC008620	LOC129792369
OG0004680	ASIC002627	LOC129788810
OG0004681	ASIC005307	LOC129793223
OG0004683	ASIC005309	LOC129793985
OG0004684	ASIC005310	LOC129791417
OG0004685	ASIC005301	LOC129788808
OG0004686	ASIC004523	LOC129791434
OG0004687	ASIC002625	LOC129793213
OG0004688	ASIC006406	LOC129790131
OG0004689	ASIC007216	LOC129789105
OG0004690	ASIC013071	LOC129788188
OG0004691	ASIC014362	LOC129790474
OG0004692	ASIC013073	LOC129788189
OG0004693	ASIC013072	LOC129787311
OG0004694	ASIC007150	LOC129788695
OG0004695	ASIC013075	LOC129791892
OG0004697	ASIC007205	LOC129796612
OG0004698	ASIC006400	LOC129790130
OG0004699	ASIC006412	LOC129794095
OG0004700	ASIC021797, ASIC021798	LOC129787815
OG0004701	ASIC014238	LOC129786498
OG0004702	ASIC010454	LOC129794975
OG0004703	ASIC021807	LOC129787832
OG0004704	ASIC010455	LOC129786746
OG0004705	ASIC010451	LOC129792071
OG0004706	ASIC010459	LOC129790276
OG0004707	ASIC010452	LOC129788190
OG0004708	ASIC010458	LOC129786667
OG0004709	ASIC000805	LOC129787774
OG0004710	ASIC000804	LOC129796324
OG0004711	ASIC000952	LOC129792493
OG0004712	ASIC019138	LOC129788354
OG0004713	ASIC005583	LOC129794795
OG0004714	ASIC005597	LOC129796500
OG0004715	ASIC004802	LOC129796591
OG0004716	ASIC005573	LOC129795042
OG0004717	ASIC005586	LOC129794978
OG0004718	ASIC005576	LOC129795106
OG0004719	ASIC000953	LOC129792500
OG0004720	ASIC015111	LOC129797266
OG0004721	ASIC015120	LOC129786015
OG0004722	ASIC006528	LOC129790585
OG0004723	ASIC003727	LOC129793692
OG0004724	ASIC003731	LOC129793476
OG0004725	ASIC016857	LOC129788168
OG0004726	ASIC003732	LOC129793472
OG0004727	ASIC016844	LOC129789909
OG0004728	ASIC016856	LOC129792141
OG0004729	ASIC016845	LOC129793650
