Orthogroup	AsinensisChina	LlongipalpisASM
OG0000151	ASIC009927	LOC129787126, LOC129787128
OG0000151	ASIC009913, ASIC009914	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	ASIC004877	LOC129794238
OG0000154	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041	LOC129791038
OG0000157	ASIC010788, ASIC019241	LOC129793002
OG0000160	ASIC016821	LOC129797691, LOC129797713, LOC129786217
OG0000161	ASIC019631	LOC129790631
OG0000162	ASIC018387, ASIC018375, ASIC018379, ASIC018380	LOC129792306
OG0000163	ASIC007358, ASIC007362, ASIC007363, ASIC007359	LOC129793077, LOC129787054, LOC129793078
OG0000164	ASIC021805	LOC129788007
OG0000164	ASIC021916, ASIC021828	LOC129786795
OG0000165	ASIC020384, ASIC020380, ASIC020379, ASIC020381	LOC129785838
OG0000166	ASIC016347, ASIC012923, ASIC012924, ASIC012921	LOC129793375, LOC129794220, LOC129793372
OG0000171	ASIC004812, ASIC004811, ASIC004810	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	ASIC017527, ASIC017517, ASIC017518, ASIC017545, ASIC017548, ASIC017547	LOC129796083
OG0000173	ASIC022306, ASIC022304	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	ASIC007083, ASIC009499, ASIC007084	LOC129785929
OG0000183	ASIC011096	LOC129786975, LOC129786974
OG0000184	ASIC007210, ASIC007209	LOC129794345
OG0000187	ASIC003343	LOC129796892
OG0000188	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161	LOC129786978
OG0000189	ASIC020927	LOC129787889
OG0000189	ASIC004914	LOC129787087
OG0000190	ASIC009037	LOC129790672
OG0000190	ASIC004005	LOC129789849
OG0000192	ASIC003853	LOC129789885
OG0000192	ASIC021385	LOC129791401
OG0000192	ASIC006813	LOC129789886
OG0000193	ASIC005170, ASIC009034, ASIC004649	LOC129791916, LOC129788591, LOC129786638
OG0000194	ASIC007163	LOC129795950
OG0000196	ASIC009091	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	ASIC004374	LOC129796145
OG0000200	ASIC004381	LOC129786068
OG0000201	ASIC018737, ASIC018748	LOC129792426, LOC129792425, LOC129792423
OG0000202	ASIC006264, ASIC005159	LOC129795977
OG0000204	ASIC018858, ASIC018857, ASIC018860	LOC129790266
OG0000206	ASIC009932, ASIC009934, ASIC009931, ASIC009933	LOC129791163
OG0000206	ASIC017261	LOC129791164
OG0000207	ASIC020302, ASIC020301	LOC129791699
OG0000208	ASIC004792, ASIC004793, ASIC004794, ASIC004795	LOC129796425
OG0000209	ASIC018130	LOC129787514, LOC129785969
OG0000217	ASIC021690	LOC129790202
OG0000217	ASIC007120	LOC129790328
OG0000217	ASIC021693	LOC129793020
OG0000218	ASIC006963, ASIC006964	LOC129795659
OG0000220	ASIC021082, ASIC021083, ASIC021081	LOC129787563
OG0000222	ASIC014190, ASIC014179, ASIC013415	LOC129788692
OG0000223	ASIC011432	LOC129786636
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	LOC129786419
OG0000225	ASIC021356	LOC129797834, LOC129797833
OG0000229	ASIC021403, ASIC004678	LOC129787399, LOC129793458
OG0000231	ASIC011666, ASIC011669	LOC129794015
OG0000232	ASIC012966, ASIC012965	LOC129791885
OG0000233	ASIC011408	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	ASIC020664	LOC129793719, LOC129790671
OG0000235	ASIC017168, ASIC009033	LOC129790399, LOC129790400
OG0000236	ASIC011385, ASIC008198, ASIC015967	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	ASIC003194	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000244	ASIC022012, ASIC022140	LOC129788572
OG0000245	ASIC005515, ASIC005518, ASIC005516	LOC129788329, LOC129791448, LOC129788328
OG0000248	ASIC017750	LOC129790447
OG0000250	ASIC004082	LOC129791946
OG0000250	ASIC004081	LOC129792061
OG0000254	ASIC005504	LOC129794727, LOC129794738
OG0000265	ASIC007840	LOC129794745
OG0000266	ASIC010738, ASIC004862, ASIC004863	LOC129788826
OG0000267	ASIC021746, ASIC021770	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	ASIC007410, ASIC007406, ASIC007405	LOC129790334, LOC129790344
OG0000269	ASIC006168	LOC129786292
OG0000270	ASIC018039	LOC129795988
OG0000271	ASIC006601	LOC129789622
OG0000272	ASIC015539, ASIC011268	LOC129792269
OG0000273	ASIC011512, ASIC011513, ASIC011515	LOC129794573, LOC129794527, LOC129794600
OG0000274	ASIC019686, ASIC020495	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	ASIC008290, ASIC008301	LOC129791521
OG0000278	ASIC016444, ASIC016562	LOC129786521, LOC129791056, LOC129791052
OG0000280	ASIC014626, ASIC014625, ASIC014624	LOC129794053
OG0000286	ASIC015277, ASIC015276	LOC129786965
OG0000289	ASIC007910, ASIC007909	LOC129789651, LOC129789648, LOC129789646
OG0000290	ASIC015220, ASIC015219	LOC129794578
OG0000291	ASIC019903	LOC129796116
OG0000291	ASIC018745, ASIC018743	LOC129791815
OG0000292	ASIC012870, ASIC012872	LOC129789397
OG0000293	ASIC020292, ASIC021166	LOC129794823, LOC129788774
OG0000294	ASIC000865, ASIC000867	LOC129789645
OG0000294	ASIC000063	LOC129789635
OG0000296	ASIC010617, ASIC010616	LOC129789943
OG0000297	ASIC007550, ASIC007551	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	ASIC010575, ASIC018166, ASIC018167	LOC129797703
OG0000302	ASIC007798, ASIC007799	LOC129794019, LOC129794016
OG0000303	ASIC014828, ASIC014829, ASIC014831	LOC129786927
OG0000304	ASIC009070	LOC129788607
OG0000304	ASIC009068	LOC129788353
OG0000305	ASIC008672	LOC129788936
OG0000306	ASIC017623, ASIC015935, ASIC007588, ASIC017620	LOC129792581
OG0000311	ASIC002525	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702
OG0000319	ASIC006535, ASIC006536, ASIC016269	LOC129792976, LOC129792973
OG0000324	ASIC003860, ASIC003861, ASIC003858	LOC129791049
OG0000325	ASIC019850, ASIC021114, ASIC019849	LOC129793668
OG0000326	ASIC005793, ASIC005792	LOC129786690
OG0000327	ASIC009969	LOC129788407
OG0000328	ASIC018103, ASIC018105	LOC129795928
OG0000329	ASIC007335, ASIC007336, ASIC007337	LOC129790306
OG0000330	ASIC005378, ASIC005379, ASIC005380	LOC129790371
OG0000331	ASIC011490, ASIC011489	LOC129786465
OG0000332	ASIC013992, ASIC011150, ASIC013991	LOC129787519
OG0000333	ASIC016706	LOC129792561
OG0000334	ASIC005880	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	ASIC018899, ASIC018901, ASIC018897	LOC129790183, LOC129792929
OG0000337	ASIC017612	LOC129794112
OG0000344	ASIC020228	LOC129796894, LOC129796895, LOC129786968
OG0000345	ASIC003978, ASIC011811	LOC129786395
OG0000349	ASIC012256, ASIC012253, ASIC012252	LOC129793891
OG0000350	ASIC002433	LOC129793586
OG0000351	ASIC011933, ASIC011922	LOC129794682
OG0000352	ASIC020939	LOC129786247
OG0000352	ASIC020938	LOC129786294
OG0000353	ASIC000954, ASIC011663, ASIC011664	LOC129794007
OG0000354	ASIC012572, ASIC012573, ASIC010034, ASIC010035	LOC129787091
OG0000355	ASIC013915	LOC129787439
OG0000356	ASIC014973, ASIC007049	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	ASIC012551, ASIC012549	LOC129797618
OG0000360	ASIC014813, ASIC014814	LOC129793800
OG0000360	ASIC014817	LOC129796548
OG0000363	ASIC018523, ASIC018524	LOC129797000
OG0000364	ASIC016659, ASIC016658	LOC129791717
OG0000365	ASIC002632, ASIC002635, ASIC002634	LOC129787071
OG0000367	ASIC016760, ASIC016759	LOC129794337, LOC129792101, LOC129795024
OG0000368	ASIC021920	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736
OG0000369	ASIC009381, ASIC009390	LOC129790261
OG0000370	ASIC017718	LOC129794441, LOC129794442, LOC129794443
OG0000370	ASIC011451	LOC129786379
OG0000371	ASIC016594, ASIC016597, ASIC016605	LOC129794045
OG0000372	ASIC009507, ASIC009504, ASIC009508, ASIC009509	LOC129790937
OG0000381	ASIC017769	LOC129792906, LOC129792907, LOC129792591
OG0000382	ASIC013910	LOC129786797, LOC129796311
OG0000382	ASIC013908	LOC129796310
OG0000383	ASIC008776	LOC129785995
OG0000383	ASIC022329	LOC129787610, LOC129794998
OG0000386	ASIC011708, ASIC011707, ASIC011709	LOC129794213
OG0000387	ASIC016161, ASIC012957	LOC129792588
OG0000389	ASIC019090	LOC129792672
OG0000389	ASIC019088	LOC129796262
OG0000390	ASIC021882, ASIC011284	LOC129786718
OG0000391	ASIC015117, ASIC015116	LOC129787235
OG0000391	ASIC017801	LOC129791955
OG0000393	ASIC007949	LOC129785949, LOC129785948, LOC129785957
OG0000394	ASIC021259, ASIC021258	LOC129791762
OG0000395	ASIC009958	LOC129788433
OG0000395	ASIC006771	LOC129796829, LOC129789717
OG0000396	ASIC002672, ASIC002671	LOC129790169
OG0000397	ASIC014575	LOC129790187
OG0000397	ASIC008278	LOC129790172
OG0000399	ASIC019199, ASIC019531, ASIC019530	LOC129794264
OG0000400	ASIC014917, ASIC019623	LOC129786701
OG0000401	ASIC005455	LOC129797202
OG0000401	ASIC004773	LOC129786605
OG0000403	ASIC017017	LOC129788394
OG0000403	ASIC018806	LOC129793356
OG0000404	ASIC005999, ASIC005998	LOC129795523
OG0000407	ASIC017969, ASIC017965	LOC129791712
OG0000408	ASIC012313, ASIC012311	LOC129797650, LOC129797649
OG0000409	ASIC006513, ASIC006515	LOC129787069
OG0000411	ASIC013281	LOC129786847, LOC129786629
OG0000412	ASIC020401, ASIC020400, ASIC020403, ASIC020404	LOC129788847
OG0000413	ASIC019161, ASIC019163, ASIC019162, ASIC019164	LOC129792318
OG0000414	ASIC009497, ASIC014159, ASIC014156, ASIC014158, ASIC014155	LOC129790511
OG0000416	ASIC019239, ASIC016876	LOC129792009
OG0000417	ASIC015685	LOC129796020
OG0000417	ASIC011176	LOC129792608, LOC129787782
OG0000424	ASIC006224, ASIC006202, ASIC006235, ASIC006213, ASIC006268	LOC129785892
OG0000429	ASIC004595, ASIC004594	LOC129797527
OG0000430	ASIC016909	LOC129790395
OG0000431	ASIC010039	LOC129786890, LOC129786889, LOC129786888
OG0000432	ASIC008599, ASIC005905	LOC129793235
OG0000433	ASIC021068, ASIC021074	LOC129787458
OG0000435	ASIC005963	LOC129793977
OG0000435	ASIC005962	LOC129793979, LOC129788654
OG0000437	ASIC002921	LOC129796837, LOC129796843
OG0000437	ASIC002923	LOC129786972
OG0000438	ASIC002922	LOC129796877, LOC129796853
OG0000439	ASIC017605	LOC129791046
OG0000439	ASIC017590	LOC129791051
OG0000440	ASIC013302, ASIC013280	LOC129786063
OG0000441	ASIC000926, ASIC007475, ASIC000925, ASIC007491, ASIC002994, ASIC005125	LOC129789191
OG0000443	ASIC020916, ASIC019892	LOC129786466
OG0000445	ASIC015511	LOC129788571
OG0000445	ASIC015510	LOC129795393
OG0000446	ASIC017399, ASIC017397	LOC129792631
OG0000447	ASIC003833, ASIC003829	LOC129791462
OG0000448	ASIC003765	LOC129791218
OG0000448	ASIC012623	LOC129797162
OG0000449	ASIC003960	LOC129788782
OG0000449	ASIC005404	LOC129795663
OG0000450	ASIC020787	LOC129791284
OG0000450	ASIC020791	LOC129791285
OG0000451	ASIC016924, ASIC016917, ASIC016922, ASIC003595	LOC129797430
OG0000453	ASIC003644, ASIC012850, ASIC012851	LOC129796269
OG0000454	ASIC006736	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956
OG0000455	ASIC019673	LOC129793202
OG0000455	ASIC004791	LOC129795185, LOC129794005
OG0000456	ASIC011658, ASIC020729	LOC129789003
OG0000457	ASIC015718	LOC129797501
OG0000457	ASIC015722	LOC129797497
OG0000460	ASIC022001, ASIC021718	LOC129786399
OG0000461	ASIC006228, ASIC006229	LOC129788689, LOC129788691
OG0000465	ASIC014237, ASIC003894	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823
OG0000466	ASIC004778, ASIC004777, ASIC017831	LOC129788859
OG0000476	ASIC009230, ASIC009231	LOC129797587, LOC129797598
OG0000478	ASIC002617	LOC129789267
OG0000479	ASIC004164	LOC129786132, LOC129786130
OG0000480	ASIC020530, ASIC005746	LOC129795298
OG0000481	ASIC002432, ASIC008638, ASIC002429	LOC129793585
OG0000482	ASIC006605, ASIC006582	LOC129789436
OG0000483	ASIC003173	LOC129790713
OG0000484	ASIC017359, ASIC001455	LOC129797633
OG0000485	ASIC006949, ASIC006858, ASIC006950	LOC129795192
OG0000486	ASIC016975, ASIC011434	LOC129796376
OG0000487	ASIC006102, ASIC017111	LOC129796445
OG0000489	ASIC004414, ASIC004437	LOC129789596
OG0000490	ASIC018244, ASIC018249	LOC129797526, LOC129793927
OG0000491	ASIC008922, ASIC013988	LOC129786095
OG0000492	ASIC006208, ASIC006198	LOC129790192
OG0000494	ASIC010787	LOC129795756
OG0000495	ASIC012829, ASIC012830	LOC129789139
OG0000496	ASIC006138	LOC129789632
OG0000496	ASIC006139	LOC129786268
OG0000497	ASIC003415	LOC129787431
OG0000498	ASIC000092, ASIC000091	LOC129786578, LOC129786574, LOC129786579
OG0000499	ASIC019661, ASIC005520	LOC129790607
OG0000500	ASIC010264, ASIC015176	LOC129788005
OG0000501	ASIC010971, ASIC013654, ASIC010970	LOC129797582
OG0000502	ASIC000171, ASIC003404, ASIC016009	LOC129785827
OG0000504	ASIC002831, ASIC005768	LOC129793723
OG0000506	ASIC017398, ASIC017513	LOC129792624
OG0000507	ASIC006096, ASIC008822	LOC129791979
OG0000509	ASIC016623, ASIC016624	LOC129792415
OG0000510	ASIC006783	LOC129791881
OG0000511	ASIC018684, ASIC018683	LOC129797841
OG0000512	ASIC017132	LOC129789515
